,name,club,age,position,apps,mins,goals,assists,yel,red,shots,ps%,aerials_won,motm,rating,tackles,interceptions,fouls,offsides_won,clearances,dribbled,blocks,own_goals,key_passes,dribblings,fouled,offsides,dispossed,bad_controls,avg_passes,crosses,long_passes,through_passes,league,season
103,Paul Verhaegh,Augsburg,32,M(R),27,2339,6,1,4,1,0.7,80.5,1.9,-,7.10,1.9,2.4,1,0.3,3.1,0.6,0.2,-,0.6,0.4,1,-,0.3,0.6,42.4,0.4,5.1,0.1,Bundesliga,2014/2015
104,Dante,Bayern,32,D(C),21(6),1997,-,-,5,-,0.3,91.4,3.3,-,7.10,1.4,1.8,1.3,1.1,2.6,0.3,0.3,-,0.1,0.3,0.6,-,0.4,0.3,71.9,-,3.9,-,Bundesliga,2014/2015
105,Tobias Werner,Augsburg,30,AM(L),30(1),2634,8,4,8,-,2.2,58.8,1.6,3,7.10,2,1.1,1.5,-,0.7,1.3,0.2,-,1.7,0.5,1.3,0.8,1,1,22.8,0.9,1.2,-,Bundesliga,2014/2015
106,Ralf Fährmann,Schalke,27,GK,25,2250,-,-,-,-,-,58.3,0.6,-,7.10,-,0.1,-,-,1,-,-,-,-,-,0.5,-,-,-,36.3,-,9.6,-,Bundesliga,2014/2015
107,Álvaro Domínguez,Borussia M.Gladbach,26,D(CL),23(1),2115,-,3,3,-,0.5,84.4,3,-,7.10,1,1.5,0.9,0.8,4.9,0.3,0.7,-,0.4,-,0.5,0.1,0.3,0.6,54.7,0.2,4.5,-,Bundesliga,2014/2015
108,Hiroshi Kiyotake,Hannover,26,AM(CLR),29(3),2536,5,5,2,-,1,78.6,0.5,2,7.09,0.8,0.8,0.5,-,0.5,0.8,0.1,-,2.2,1.8,1.1,0.2,1,1.5,33.1,1.8,1.9,0.1,Bundesliga,2014/2015
109,Roman Bürki,Freiburg,25,GK,34,3060,-,-,2,-,-,58.1,0.5,3,7.09,-,-,-,-,0.9,0.1,-,-,-,0.2,0.1,-,-,0.1,42.6,-,7.9,-,Bundesliga,2014/2015
110,Marco Russ,Eintracht Frankfurt,30,DMC,26,2224,2,3,5,-,0.7,74.4,4.1,1,7.08,1.8,2.9,1.7,0.8,4,1.3,0.3,-,0.4,0.8,0.8,0.2,0.9,0.6,35.5,-,2.7,-,Bundesliga,2014/2015
111,Nils Petersen,Freiburg,27,FW,5(7),507,9,1,-,-,1.3,68.8,2.8,1,7.08,0.2,0.5,0.1,-,0.4,0.8,-,-,0.8,0.5,0.5,0.4,1.2,0.5,12.8,-,-,-,Bundesliga,2014/2015
112,Yann Sommer,Borussia M.Gladbach,27,GK,34,3060,-,-,1,-,-,74.8,0.5,1,7.08,-,-,-,-,0.6,-,-,-,-,-,0.1,-,-,-,41.8,-,8.6,-,Bundesliga,2014/2015
113,David Kinsombi,Eintracht Frankfurt,20,M(CR),2,153,-,-,1,-,-,69,0.5,-,7.07,2,4.5,2,0.5,4,1.5,-,-,0.5,0.5,1.5,-,1,0.5,21,-,0.5,-,Bundesliga,2014/2015
114,Pierre-Emerick Aubameyang,Borussia Dortmund,26,FW,31(2),2723,16,6,4,-,3.1,66.7,1.6,-,7.07,0.6,0.5,1.1,-,0.3,0.7,0.1,-,1.4,0.7,0.4,0.9,0.9,1.4,23.2,0.5,0.5,0.1,Bundesliga,2014/2015
115,Niko Bungert,Mainz,29,D(C),23(3),2124,1,1,4,-,0.7,85.7,4.3,1,7.07,1.3,2.3,0.8,0.6,5,0.3,0.6,-,0.2,0.1,0.7,0.1,-,0.2,36.7,-,3.3,-,Bundesliga,2014/2015
116,Sebastian Rudy,Hoffenheim,25,M(CR),25(4),2244,4,3,9,-,0.8,77.4,1.3,2,7.07,2.7,1.9,1.7,-,1.5,1.7,0.1,-,1.6,0.3,1.1,-,0.6,0.5,37.7,0.9,2.9,-,Bundesliga,2014/2015
117,Jonathan Schmid,Freiburg,25,M(CLR),32(1),2826,4,8,2,-,1.8,76.5,1.3,-,7.07,0.6,1.1,0.5,-,1.3,0.3,0.1,-,1.9,1,1.2,0.4,1.3,0.9,25.9,1.1,0.9,-,Bundesliga,2014/2015
118,Makoto Hasebe,Eintracht Frankfurt,31,M(CR),33,2853,-,2,6,-,0.1,77.2,2.4,-,7.06,2.9,2.8,1.3,0.3,1.6,1.8,0.2,-,0.8,0.5,2,-,0.9,0.8,44.4,-,2.7,0.1,Bundesliga,2014/2015
119,Fabian Lustenberger,Hertha Berlin,27,M(C),26(1),2189,-,-,3,1,0.1,79.1,2.6,-,7.06,3.1,2.7,1,0.5,3.9,1.1,0.3,-,0.2,0.1,1.6,-,0.3,0.4,33.9,-,2.9,-,Bundesliga,2014/2015
120,Franco Di Santo,Werder Bremen,26,FW,26,2300,13,2,8,-,2.1,60.1,3.5,1,7.06,0.5,0.5,2.4,-,0.4,0.8,0.3,-,0.9,1,1.5,0.8,1.8,1.9,24.7,0.2,0.6,-,Bundesliga,2014/2015
121,Christian Gentner,Stuttgart,30,M(CLR),33,2941,5,3,6,-,1.3,71.5,1.8,2,7.05,2.5,2.3,1.5,0.1,1.6,1.8,0.1,-,1.2,0.6,1.7,0.1,0.8,1.3,39.5,0.2,2.3,-,Bundesliga,2014/2015
122,Daniel Ginczek,Stuttgart,24,FW,14(4),1251,7,2,3,-,1.9,63,4.7,1,7.05,0.7,0.3,1.3,-,0.3,0.6,0.1,-,1.2,0.8,2.1,0.4,1.3,1.6,19.2,0.1,0.1,0.1,Bundesliga,2014/2015
123,Thiago,Bayern,24,M(C),2(5),281,-,-,-,-,0.6,88.7,1.3,-,7.05,1.7,1.1,1,0.1,0.4,0.3,-,-,1.3,1.9,1.1,-,0.7,0.4,50.6,0.4,3.1,-,Bundesliga,2014/2015
