,name,club,position,apps,mins,goals,assists,yel,red,shots,ps%,aerials_won,motm,rating,tackles,interceptions,fouls,offsides_won,clearances,dribbled,blocks,own_goals,key_passes,dribblings,fouled,offsides,dispossed,bad_controls,avg_passes,crosses,long_passes,through_passes,league,season
0,Robert Lewandowski,Bayern,FW,33,2959,22,7,2,-,4.4,77.5,1.7,5,7.65,0.4,0.2,0.8,-,0.5,0.2,-,-,1.4,1.5,1.4,0.9,1.5,2.8,22.1,-,0.6,0.2,Bundesliga,2018/2019
1,Thiago,Bayern,M(C),26(4),2409,2,6,5,-,0.8,91.8,1.2,3,7.59,2.9,1.5,1.7,-,0.6,0.8,0.1,-,1.3,1.9,1.1,-,0.9,0.7,83.6,0.5,7.3,0.1,Bundesliga,2018/2019
2,Kerem Demirbay,Hoffenheim,M(C),24(2),2023,4,9,6,-,2.3,81.2,0.7,6,7.59,2.2,0.8,1.8,-,0.8,1.5,0.4,-,3.1,2.2,1.3,0.1,2,2,48.8,1.7,2.9,0.2,Bundesliga,2018/2019
3,Marcel Halstenberg,RBL,M(L),27(1),2414,3,6,2,-,0.8,74.3,2.6,3,7.56,2.4,1.4,0.9,0.5,1.9,0.8,0.1,-,2,1,0.8,0.1,0.9,1,40.9,1.6,1.4,-,Bundesliga,2018/2019
4,Sébastien Haller,Eintracht Frankfurt,FW,23(6),2181,15,9,3,-,1.9,63.5,6.9,3,7.55,0.8,0.5,1.4,-,0.8,0.4,-,-,1.3,1,1.5,0.7,1.7,3,27,-,0.4,0.1,Bundesliga,2018/2019
5,Jadon Sancho,Borussia Dortmund,AM(CLR),26(8),2464,12,14,2,-,1.2,84.9,-,7,7.52,0.6,0.4,0.1,-,0.1,0.6,-,-,1.9,3.3,1.1,0.1,1.7,2.7,38.3,0.8,0.6,0.1,Bundesliga,2018/2019
6,Joshua Kimmich,Bayern,M(R),34,3060,2,13,4,-,0.7,90.5,0.7,4,7.49,1.4,1,0.8,0.1,1,0.9,0.3,-,2.4,1.1,1.5,0.1,0.7,1.2,74.1,2.2,4.2,0.1,Bundesliga,2018/2019
7,Gregor Kobel,Hoffenheim,GK,1,90,-,-,-,-,-,61.5,1,-,7.48,-,-,-,-,-,-,-,-,-,-,-,-,-,-,39,-,15,-,Bundesliga,2018/2019
8,Frederik Rønnow,Eintracht Frankfurt,GK,1(1),122,-,-,-,-,-,59.6,-,-,7.47,-,-,-,-,0.5,-,-,-,-,-,-,-,-,-,26,-,10.5,-,Bundesliga,2018/2019
9,Thorgan Hazard,Borussia M.Gladbach,FW,33,2878,10,10,1,-,2.3,76.9,0.7,6,7.44,1.5,0.8,0.8,-,0.2,0.9,0.1,-,2.2,2.2,1.8,0.5,1.5,2.2,34.8,1.4,1.6,0.2,Bundesliga,2018/2019
10,Willi Orbán,RBL,D(C),23(1),2050,4,-,5,-,1.1,78.2,4.8,3,7.41,2,1.5,1.1,1.4,5.7,0.6,0.6,-,-,0.1,1.2,-,0.1,0.4,41.6,-,2.7,-,Bundesliga,2018/2019
11,Lukasz Piszczek,Borussia Dortmund,M(R),20,1759,1,6,3,-,0.6,83.3,3.1,2,7.41,2.9,2,0.8,0.2,3,0.8,0.2,-,1.1,0.4,0.5,-,0.3,0.7,56.2,0.6,1.3,0.2,Bundesliga,2018/2019
