,name,club,position,apps,mins,goals,assists,yel,red,shots,ps%,aerials_won,motm,rating,tackles,interceptions,fouls,offsides_won,clearances,dribbled,blocks,own_goals,key_passes,dribblings,fouled,offsides,dispossed,bad_controls,avg_passes,crosses,long_passes,through_passes,league,season
0,Neymar,PSG,FW,16(1),1444,15,7,2,-,3.2,81.1,0.5,7,8.26,0.8,0.3,0.7,-,0.1,1,-,-,2.5,4.4,3.4,0.4,4.2,4.1,57.8,1,2.5,0.9,Ligue 1,2018/2019
1,Kylian Mbappé,PSG,FW,24(5),2344,33,7,5,1,4.3,79.4,0.1,9,8.00,0.3,0.2,0.7,-,0.1,0.2,-,-,1.6,2.2,1.5,1,1.5,2.1,26.9,0.2,0.6,0.1,Ligue 1,2018/2019
2,Téji Savanier,Nimes,M(C),32,2866,6,14,7,1,2.1,71.4,1.6,8,7.89,3,2,1.6,-,1.5,2.3,0.5,-,2.7,2.5,3,-,1.3,2,50.4,2.3,6.6,0.1,Ligue 1,2018/2019
3,Jessy Moulin,Saint-Etienne,GK,1,90,-,-,-,-,-,85,2,-,7.76,1,-,-,-,4,-,-,1,-,1,-,-,-,-,20,-,-,-,Ligue 1,2018/2019
4,Nicolas Pépé,Lille,FW,37(1),3332,22,11,1,-,3.1,79.1,1.2,13,7.62,0.7,0.3,0.6,-,0.2,0.7,-,-,1.8,2.7,2.8,0.3,2.9,2.9,31.6,0.4,0.7,0.3,Ligue 1,2018/2019
5,Ángel Di María,PSG,FW,28(2),2339,12,11,2,-,3.2,78.8,-,2,7.52,1,0.5,0.4,-,0.1,1.1,-,-,1.8,1.4,0.6,0.2,1.5,1.6,42.1,1,1.7,0.2,Ligue 1,2018/2019
6,Youcef Atal,Nice,M(R),25(4),2261,6,-,8,-,1.2,83.6,1.6,8,7.48,2.3,1.9,1.4,0.2,1.3,1.1,0.3,-,0.8,3.5,2,0.3,1.1,2.8,34.9,0.3,0.9,0.1,Ligue 1,2018/2019
7,Yassine Benzia,Lille,FW,2,162,-,1,-,-,3,81.8,0.5,-,7.46,0.5,0.5,1.5,-,-,-,-,-,2.5,0.5,1.5,-,-,-,49.5,1,4,0.5,Ligue 1,2018/2019
8,Edinson Cavani,PSG,FW,20(1),1676,18,5,1,-,2.5,76.3,0.2,2,7.44,0.5,0.3,0.5,-,0.7,0.5,0.1,-,0.6,0.6,0.8,0.5,0.6,1.8,16.7,-,0.3,-,Ligue 1,2018/2019
9,Hatem Ben Arfa,Rennes,FW,23(3),2037,7,2,1,-,2.1,85.2,0.2,5,7.35,0.6,0.2,0.7,-,-,0.3,-,-,1.4,4.5,1.6,0.2,2.5,2.2,32.7,0.5,1.6,0.2,Ligue 1,2018/2019
10,Memphis Depay,Lyon,FW,29(7),2737,10,10,5,-,3.1,80.1,0.3,3,7.34,0.3,0.3,1,-,-,0.4,0.1,-,3.1,1.7,0.9,0.3,1.8,2.3,34.8,2,1.4,0.2,Ligue 1,2018/2019
11,Nabil Fekir,Lyon,FW,24(5),1991,9,7,5,-,3.1,85.2,0.5,5,7.31,1.8,0.2,1.5,-,0.1,0.9,-,-,1.8,1.6,2.2,0.6,1.5,1.8,34.1,1,1.2,0.1,Ligue 1,2018/2019
12,Adrien Rabiot,PSG,M(L),12(2),1064,2,1,3,-,0.5,93.1,1.6,1,7.31,2.5,0.7,1.6,-,1.3,0.2,0.1,1,0.4,1.1,0.6,-,0.6,1,74.8,-,3.4,0.2,Ligue 1,2018/2019
13,Flavien Tait,Angers,M(CLR),34(2),2995,5,7,2,-,2.4,78.8,0.3,4,7.30,1.6,0.8,0.9,-,0.3,1,0.1,-,2.1,2.3,1.9,0.1,1.9,2.8,36.4,1.4,1.4,0.2,Ligue 1,2018/2019
14,Metehan Guclu,PSG,Forward,0(1),16,1,-,-,-,2,100,-,-,7.29,-,-,1,-,-,-,-,-,1,-,-,-,-,-,3,-,-,-,Ligue 1,2018/2019
15,Andy Delort,Montpellier,FW,36,3132,14,7,4,-,3.3,63.9,3.7,3,7.27,0.9,0.1,2.6,-,0.2,0.8,0.2,-,1.6,1.5,1.5,0.7,1.8,3.5,29.3,0.8,1.4,0.1,Ligue 1,2018/2019
