,name,club,position,apps,mins,goals,assists,yel,red,shots,ps%,aerials_won,motm,rating,tackles,interceptions,fouls,offsides_won,clearances,dribbled,blocks,own_goals,key_passes,dribblings,fouled,offsides,dispossed,bad_controls,avg_passes,crosses,long_passes,through_passes,league,season
0,Lionel Messi,Barcelona,FW,32(1),2881,25,21,4,-,4.8,82.6,0.3,22,8.71,0.6,0.2,0.6,-,-,0.5,-,-,2.7,5.5,2.1,0.4,2.4,2.1,59.8,0.8,2.2,0.6,LaLiga,2019/2020
1,Guillermo Maripán,Deportivo Alaves,D(C),1,90,-,-,-,-,-,75,5,-,7.54,1,2,-,1,9,1,-,-,-,-,-,-,-,-,12,-,1,-,LaLiga,2019/2020
2,Casemiro,Real Madrid,DMC,35,3091,4,3,12,-,1.3,84.1,2.9,3,7.47,2.7,1.9,2.5,0.1,1.9,1.7,0.3,-,0.4,0.8,1.9,0.1,0.8,0.7,61.5,0.2,6.5,-,LaLiga,2019/2020
3,Karim Benzema,Real Madrid,FW,36(1),3155,21,8,-,-,3.4,86.2,0.8,10,7.44,0.5,0.2,0.6,-,0.8,0.4,0.1,-,1.6,1,0.4,0.7,1.1,1.7,34.7,-,1.4,0.1,LaLiga,2019/2020
4,Luis Suárez,Barcelona,FW,22(6),2002,16,8,4,-,2.8,75.5,0.4,3,7.33,0.1,-,0.5,-,0.4,0.4,-,-,0.9,0.8,0.9,0.6,0.9,1.2,23.4,0.1,0.9,-,LaLiga,2019/2020
5,Mikel Merino,Real Sociedad,M(C),35(1),3144,5,1,9,-,1.2,75.8,5.1,5,7.31,2.2,1.4,2.1,0.1,1.4,1.6,0.2,-,0.9,1,2.5,0.1,1.4,1.6,53.7,0.2,2.2,-,LaLiga,2019/2020
6,Gerard Moreno,Villarreal,FW,33(2),2755,18,5,5,-,2.5,74.5,1.6,6,7.31,0.5,0.3,1,0.1,1.4,1.2,0.1,-,1.4,1.7,1.4,0.5,1.3,2.6,27.5,0.3,1.9,0.1,LaLiga,2019/2020
7,Eden Hazard,Real Madrid,FW,14(2),1088,1,3,-,-,1.2,85.9,0.4,1,7.30,0.4,0.4,0.8,-,-,0.8,-,-,1.3,3.1,3.1,0.1,2.1,1.8,35.9,0.2,1.4,-,LaLiga,2019/2020
8,Nabil Fekir,Real Betis,FW,31(1),2652,7,4,6,2,3.2,83.9,1,8,7.22,1.3,0.3,2.2,-,0.1,0.8,0.1,-,1.3,3.1,3.5,0.4,1.9,2.6,29.8,0.5,1.2,-,LaLiga,2019/2020
9,Saúl Ñíguez,Atletico,M(CLR),35,3076,6,-,10,-,1.3,79.3,3.4,5,7.22,2.7,1.6,1.8,0.1,1.6,1.4,0.4,-,0.4,0.8,0.7,0.2,0.9,1.1,47.7,0.1,2.2,0.1,LaLiga,2019/2020
