,name,club,position,apps,mins,goals,assists,yel,red,shots,ps%,aerials_won,motm,rating,age,tackles,interceptions,fouls,offsides_won,clearances,dribbled,blocks,own_goals,key_passes,dribblings,fouled,offsides,dispossed,bad_controls,avg_passes,crosses,long_passes,through_passes,league,season
151,Grégory Arnolin,Sporting Gijon,DMC,35,3142,2,-,11,1,0.7,76.4,2.2,1,6.95,30.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
152,Karim Benzema,Real Madrid,FW,14(13),1308,8,3,-,-,2.3,81.3,0.1,2,6.95,23.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
153,Manolo Martínez,Tenerife,D(CL),26(4),2301,-,-,4,-,0.4,63.5,2,1,6.95,30.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
154,Hernán Darío Bernardello,Almeria,M(C),35,3044,-,3,10,-,1.1,77.2,0.3,2,6.95,24.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
155,Juanito,Atletico,DMC,15(2),1444,2,-,6,-,0.5,73.9,1.8,-,6.95,34.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
156,Antonio López,Atletico,D(L),29(2),2586,2,1,6,-,0.5,73.8,1.1,2,6.95,29.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
157,Ángel,Villarreal,D(R),22(2),1983,1,1,7,1,0.2,76.7,0.5,2,6.95,29.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
158,Nauzet Alemán,Real Valladolid,M(C),21(5),1647,6,3,8,-,1.5,73.9,0.3,2,6.95,25.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
159,Humberto Suazo,Real Zaragoza,FW,17,1383,6,3,2,-,1.6,78.4,0.1,1,6.95,29.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
160,Thierry Henry,Barcelona,FW,15(6),1237,4,2,1,-,1.7,79.9,0.5,-,6.95,33.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
161,Paulo Assunção,Atletico,M(C),29(1),2497,1,1,10,1,0.3,81.9,0.7,1,6.94,30.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
162,Manu,Deportivo,GK,2(1),257,-,-,-,-,-,42.5,-,-,6.94,24.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
163,Víctor Valdés,Barcelona,GK,38,3420,-,-,1,-,-,75.6,0.2,-,6.94,28.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
164,David García,Espanyol,D(CL),21,1821,-,2,5,-,0.2,79.1,0.9,1,6.94,29.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
165,José Callejón,Espanyol,FW,31(5),2689,2,4,4,1,2,78.6,0.5,2,6.94,23.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
166,Alejandro Alfaro,Tenerife,M(R),36,3160,7,5,7,-,3.3,75.6,0.6,-,6.94,24.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
167,Diego Costa,Real Valladolid,FW,32(2),2894,8,4,9,1,2.1,69.2,1.1,3,6.93,22.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
168,César Arzo,Real Valladolid,DMC,17(5),1712,1,1,7,1,0.5,70.1,1.3,1,6.93,24.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
169,Pablo Piatti,Almeria,M(CLR),28(7),2493,7,4,5,1,1.8,80.1,0.2,2,6.93,21.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
170,Kalu Uche,Almeria,FW,21(7),2034,9,2,1,-,2.8,68.5,1.8,2,6.93,28.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
171,Derek Boateng,Getafe,M(C),26(3),2251,-,-,8,1,0.6,81.9,1.3,-,6.93,27.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
172,Chico Flores,Almeria,D(C),27,2328,-,-,6,2,0.7,71.2,1.5,1,6.93,23.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
173,Mario Álvarez,Getafe,D(C),12(1),1059,-,-,5,-,0.2,85,0.9,-,6.93,28.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
174,José Manuel Jurado,Atletico,M(CLR),29(9),2697,7,4,1,-,1.8,82.4,0.3,2,6.92,24.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
175,Simão,Atletico,M(L),30(4),2447,2,3,6,1,1,79.1,0.4,1,6.92,31.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
176,Francisco Pavón,Real Zaragoza,DMC,11,962,2,1,-,-,0.7,85.2,2.2,-,6.92,30.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
177,Andrés Guardado,Deportivo,M(CL),23(3),2013,3,5,1,-,1.3,81,0.4,3,6.92,24.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
178,Hélder Rosario,Malaga,D(C),3,218,-,-,1,-,-,59.3,1.7,-,6.92,30.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
179,Bojan,Barcelona,FW,11(12),992,8,3,2,-,1.3,81.8,-,1,6.92,20.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
180,Miguel Flaño,Osasuna,D(C),31(1),2806,1,1,5,1,0.5,70,1.6,1,6.92,26.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
181,Gorka Iraizoz,Athletic Bilbao,GK,37,3330,-,-,4,-,-,55.1,-,2,6.91,29.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
182,Marc Bertrán,Tenerife,D(R),21,1836,1,2,5,1,0.3,71,1.1,1,6.91,28.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
183,Julien Escudé,Sevilla,DMC,24,2149,-,2,6,-,0.6,80.5,1.4,-,6.91,31.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
184,Igor Gabilondo,Athletic Bilbao,FW,16(10),1338,3,5,1,-,1,70.1,1,-,6.91,31.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
185,Domingo Cisma,Almeria,D(L),29(4),2592,3,1,9,-,0.8,70.4,0.5,2,6.91,28.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
186,Míchel Macedo,Almeria,D(R),28,2380,1,2,3,-,0.4,76.3,0.6,1,6.91,20.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
187,Manucho,Real Valladolid,FW,20(8),1775,4,2,5,1,2.3,67.8,4.1,3,6.91,27.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
188,Nino,Tenerife,AM(C),37(1),3359,14,-,4,-,3.4,82.9,0.4,3,6.91,30.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
189,Xabier Castillo,Athletic Bilbao,D(L),18(1),1595,-,1,4,-,0.2,68.7,0.8,-,6.90,24.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
190,Manu del Moral,Getafe,FW,21(15),1948,8,4,3,-,2.3,75.8,0.4,2,6.90,26.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
191,David Belenguer,Getafe,DMC,7(6),677,-,-,3,-,0.2,86.3,0.4,-,6.90,38.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
192,Luis García,Espanyol,FW,35(1),2887,3,1,10,-,1.3,75.9,0.4,3,6.90,29.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
193,Abdoulay Konko,Sevilla,M(R),17(1),1419,1,-,2,1,0.6,75.7,0.9,-,6.90,26.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
194,Eliseu,Real Zaragoza,M(L),19(2),1549,2,-,5,-,1.9,73.4,0.6,-,6.89,27.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
195,Fabio Coltorti,Racing Santander,GK,22(1),1999,-,-,2,-,-,45.2,0.1,1,6.89,30.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
196,Mehdi Lacen,Racing Santander,M(C),28(5),2552,3,2,4,-,0.7,77.3,1,1,6.89,26.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
197,Andoni Iraola,Athletic Bilbao,M(CR),37,3222,2,1,7,-,0.5,73,0.4,-,6.88,28.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
198,Casado,Xerez,D(L),26(1),2369,-,2,10,-,0.1,67.8,0.6,-,6.88,24.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
199,Ander Herrera,Real Zaragoza,M(C),23(7),2223,2,-,9,1,1.1,76.7,0.8,2,6.88,21.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
200,Patrick Mtiliga,Malaga,D(L),24,2021,-,-,7,1,0.5,77.8,0.6,-,6.88,29.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
201,Javi Venta,Villarreal,D(R),16(2),1415,-,-,4,-,0.2,74.4,0.2,1,6.88,35.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
202,Fran Yeste,Athletic Bilbao,AM(L),13(9),1139,2,3,5,-,0.5,76.3,0.2,1,6.88,31.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
203,Pedro Munitis,Racing Santander,FW,27(2),2205,-,8,6,-,1,74.8,0.7,1,6.88,35.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
204,Mikel San José,Athletic Bilbao,DMC,24(1),2161,1,-,8,-,0.5,74.1,0.9,-,6.88,21.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
205,Ezequiel Luna,Tenerife,DMC,22(1),1995,1,-,12,2,0.3,65,1.8,-,6.88,24.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
206,Javier Camuñas,Osasuna,FW,34(2),3046,3,7,4,-,1.5,74.6,0.1,2,6.88,30.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
207,Antonio Barragán,Real Valladolid,M(R),14(3),1246,-,-,4,-,0.2,68.4,1,-,6.87,23.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
208,Óscar Ustari,Getafe,GK,16,1440,-,-,1,-,-,54.1,0.2,1,6.87,24.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
209,Pape Diop,Racing Santander,M(C),21(2),1835,1,1,6,-,0.9,73.6,1.7,-,6.87,24.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
210,Daniel Aranzubia,Deportivo,GK,36,3161,-,1,2,1,-,42.8,0.1,2,6.87,31.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
211,Bruno,Valencia,M(R),25(1),2147,-,1,11,-,0.2,77,1.4,-,6.87,30.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
212,Nacho Monreal,Osasuna,M(L),31,2747,1,1,6,1,0.3,71.8,1.4,-,6.87,24.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
213,Gonzalo Rodríguez,Villarreal,D(C),19(2),1674,-,-,2,3,0.2,77.3,1.1,-,6.86,26.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
214,Iker Casillas,Real Madrid,GK,38,3420,-,-,-,-,-,58.1,0.1,-,6.86,29.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
215,Martí,Mallorca,M(C),27(9),2585,1,2,8,-,0.8,77.6,0.7,-,6.86,35.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
216,Rubén Pulido,Real Zaragoza,D(R),20(2),1688,2,1,6,-,0.4,66,0.8,-,6.86,31.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
217,Víctor Sánchez,Xerez,M(CL),22(3),1916,2,4,6,1,0.5,81,0.6,1,6.86,23.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
218,Marc Valiente,Sevilla,D(C),2(1),176,-,-,2,-,-,61,1,-,6.85,23.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
219,Cristian Álvarez,Espanyol,GK,7(1),670,-,-,1,-,-,49.7,0.3,-,6.85,25.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
220,Álvaro Negredo,Sevilla,FW,25(10),2046,11,5,-,3,2.2,62,1.6,4,6.85,25.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
221,Koikili,Athletic Bilbao,D(CL),20(1),1726,-,2,5,1,0.6,65.8,0.6,-,6.85,30.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
222,Yuri Berchiche,Real Valladolid,M(L),1,90,-,-,1,-,-,51.5,1,-,6.85,20.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
223,Mario Bermejo,Xerez,AM(C),33(1),2906,12,2,8,-,2,65.5,2.3,-,6.85,32.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
224,Andrés Palop,Sevilla,GK,33,2970,-,-,2,-,-,50.5,0.1,-,6.85,37.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
225,Daniel Osvaldo,Espanyol,FW,17(3),1434,7,-,7,-,3.3,64.3,1.1,4,6.85,24.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
226,Pablo Amo,Real Zaragoza,D(C),7(2),704,-,-,1,-,0.3,74.7,1.7,-,6.84,32.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
227,Asier Del Horno,Real Valladolid,DMC,13,1166,-,-,5,1,0.6,69.8,1.7,-,6.84,29.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
228,Miguel De las Cuevas,Sporting Gijon,M(CL),32(5),2549,8,4,2,-,1.7,78.6,0.3,4,6.84,24.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
229,Iván Marcano,Villarreal,D(CL),15(1),1316,1,1,4,1,0.3,71.4,1.8,-,6.84,23.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
230,Jordi Codina,Getafe,GK,22,1980,-,-,-,-,-,51.6,0.3,-,6.84,28.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
231,Renan,Xerez,GK,35,3150,-,-,4,-,-,44.3,0.2,2,6.84,25.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
232,Ayoze,Tenerife,M(CL),17(8),1495,2,2,5,-,1.4,81.8,0.4,-,6.83,25.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
233,Felipe Caicedo,Malaga,FW,15(3),1143,4,2,7,-,1.3,72.8,1,-,6.83,22.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
234,Carlos Diogo,Real Zaragoza,D(R),13(2),1209,2,-,10,-,0.3,75.3,1.1,-,6.83,27.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
235,Manuel Pablo,Deportivo,D(LR),33,2970,-,-,5,-,0.1,76.1,0.5,-,6.83,34.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
236,Echaide,Osasuna,Defender,2,167,-,-,1,-,-,68.9,1,-,6.83,22.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
237,Juan Rodríguez,Deportivo,M(C),34(1),3061,3,2,9,-,1.3,73.9,2.6,2,6.83,28.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
238,Ayoze Díaz,Mallorca,D(L),33,2937,-,1,7,-,0.5,65.1,0.4,-,6.83,28.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
239,Mohammed Tchité,Racing Santander,FW,28(1),2156,11,1,5,1,2,63.4,2,4,6.83,26.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
240,Juanlu Hens,Tenerife,M(CR),31(1),2399,4,2,4,-,1,73.4,1.2,1,6.83,26.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
241,Javi López,Malaga,AM(R),9(2),676,2,1,1,-,0.9,59.2,0.5,1,6.83,22.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
242,Miku,Getafe,FW,11(5),1051,5,2,2,-,1.3,79.7,0.7,2,6.83,25.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
243,Juca,Deportivo,M(C),14(2),1127,3,2,4,-,1.2,84.8,0.6,1,6.82,31.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
244,Cani,Villarreal,M(CLR),27(8),2203,2,4,4,1,0.7,75.4,0.1,2,6.82,29.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
245,Cote,Sporting Gijon,D(L),10(3),957,-,-,3,1,0.8,65.2,0.8,1,6.82,21.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
246,Marc Torrejón,Racing Santander,D(CR),27,2401,-,-,4,-,0.1,80.5,0.7,1,6.82,24.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
247,Jesús Gámez,Malaga,D(LR),32,2849,-,2,14,1,0.4,67.6,0.9,1,6.81,25.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
248,Joan Verdú,Espanyol,M(CR),31(3),2601,4,1,2,-,1,82.7,0.4,-,6.81,27.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
249,Mariano Pernía,Atletico,Defender,1,90,-,-,-,-,1,65.1,-,-,6.80,33.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
250,Carlos Marchena,Valencia,D(C),17(7),1482,2,1,6,1,0.6,77.5,0.3,1,6.80,31.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
251,Javier Arizmendi,Real Zaragoza,M(CLR),25(6),2074,5,1,5,-,2.1,68.1,1.4,1,6.80,26.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
252,Francisco Puñal,Osasuna,M(C),27(6),2460,-,3,11,-,0.3,71.5,0.4,-,6.80,35.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
253,Álvaro Rubio,Real Valladolid,M(C),16,1340,-,1,1,-,0.4,80.9,1.2,-,6.79,31.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
254,Manuel Arana,Racing Santander,M(CR),17(14),1748,4,3,4,-,1.4,62.9,0.6,-,6.79,26.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
255,Sergio Canales,Racing Santander,M(CLR),19(7),1647,6,4,2,-,2,75.9,0.2,3,6.79,19.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
256,Sisi,Real Valladolid,AM(LR),3(2),288,1,1,1,-,0.6,79.3,0.2,-,6.79,24.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
257,Ángel Dealbert,Valencia,D(C),22(2),1989,-,-,2,-,0.1,81,1.3,-,6.79,27.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
258,Manolo Gaspar,Malaga,D(R),13(2),1242,-,1,3,-,0.2,69.5,0.7,-,6.79,29.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
259,David Navarro,Valencia,D(C),19,1609,2,-,7,1,0.6,81.1,1.5,1,6.78,30.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
260,Matteo Contini,Real Zaragoza,D(C),15,1312,1,2,7,2,0.1,76.1,0.5,1,6.78,30.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
261,Milan Stepanov,Malaga,D(CL),12,964,-,1,4,1,-,75.1,1.1,-,6.78,27.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
262,Pelé,Real Valladolid,M(CR),17(6),1668,-,-,10,-,2.1,74.2,0.9,-,6.78,23.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
263,Roberto Canella,Sporting Gijon,D(L),28,2475,1,1,3,-,0.1,71.9,0.6,-,6.78,22.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
264,Facundo Roncaglia,Espanyol,D(CLR),15(6),1429,-,-,8,2,0.2,70.5,0.9,1,6.78,23.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
265,Carlos Kameni,Espanyol,GK,31,2747,-,-,1,1,-,57.3,0.1,2,6.78,26.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
266,Pedro López,Real Valladolid,M(R),30(1),2607,-,-,5,-,0.3,74.8,0.3,1,6.78,27.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
267,Jorge López,Real Zaragoza,FW,20(9),1782,2,4,5,-,1.8,71.8,0.7,1,6.78,32.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
268,Borja Fernández,Real Valladolid,M(C),30(1),2498,-,1,10,2,1.2,68.9,1.3,-,6.77,29.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
269,Francis,Xerez,D(R),25,2164,1,-,6,-,0.3,72.4,0.7,1,6.77,29.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
270,Adrián González,Getafe,M(CL),19(6),1651,1,5,3,-,1.8,78.4,0.7,-,6.77,22.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
271,Riki,Deportivo,FW,18(8),1500,8,1,3,1,2.3,77.8,0.7,-,6.77,30.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
272,Miguel Ángel Moyá,Valencia,GK,8,720,-,-,-,-,-,63.7,0.1,-,6.77,26.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
273,Jacobo,Real Valladolid,GK,14(1),1305,-,-,2,-,-,53.4,0.1,1,6.77,27.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
274,Fernando Navarro,Sevilla,D(CL),26(3),2278,-,2,11,-,0.2,76.8,0.9,-,6.77,28.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
275,Daniel Parejo,Getafe,M(C),16(12),1354,6,4,5,-,1.2,84.2,0.3,1,6.77,21.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
276,Joseba Llorente,Villarreal,FW,20(9),1772,9,2,8,1,1.9,74.3,0.6,1,6.77,31.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
277,Gurpegi,Athletic Bilbao,M(C),30(4),2444,1,1,3,2,0.7,73.1,1.5,1,6.76,30.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
278,Víctor Casadesús,Mallorca,FW,21(7),1590,4,5,2,-,1.4,73.2,0.9,1,6.76,25.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
279,Moisés Hurtado,Espanyol,M(CR),30(1),2556,-,-,9,-,0.6,76.9,1.5,-,6.76,29.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
280,Luis Perea,Atletico,D(CLR),27(1),2474,-,1,7,-,-,70.9,1.5,-,6.75,31.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
281,Casquero,Getafe,FW,23(9),2137,5,1,9,-,1.7,84.1,0.4,-,6.75,34.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
282,Leonardo Borzani,Almeria,Midfielder,2(1),181,-,-,1,-,0.3,90.2,-,-,6.75,28.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
283,Haris Medunjanin,Real Valladolid,M(C),9(15),1036,5,1,3,-,1.3,81.6,0.3,-,6.75,25.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
284,David de Gea,Atletico,GK,19,1710,-,-,1,-,-,38.4,0.1,-,6.75,20.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
285,Juanfran,Osasuna,D(R),32(1),2638,4,3,5,-,1.1,73.7,0.3,1,6.75,25.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
286,Cléber Santana,Atletico,M(C),8(6),827,1,1,3,1,1.8,86.5,0.6,-,6.74,29.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
287,Raúl Carnero,Deportivo,M(L),4(1),344,-,-,1,-,-,67.6,-,-,6.74,21.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
288,Fabián Canobbio,Real Valladolid,FW,21(3),1811,1,1,2,-,1.7,76,0.2,-,6.74,30.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
289,Aranda,Osasuna,FW,28(1),2138,5,6,10,-,1.9,70.9,0.5,-,6.74,30.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
290,Tomas Ujfalusi,Atletico,DMC,26(1),2369,-,2,6,1,0.4,75.4,1.1,-,6.74,32.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
291,Iker Muniain,Athletic Bilbao,AM(CLR),4(22),852,4,3,2,-,0.6,83.1,0.1,1,6.74,18.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
292,Damián Escudero,Villarreal,AM(CL),3(9),346,1,4,-,-,1.4,81.4,0.1,-,6.74,23.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
293,Manuel Torres,Malaga,D(CL),15(2),1323,1,1,5,-,0.5,72.3,0.3,-,6.74,21.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
294,Juan Pablo,Sporting Gijon,GK,38,3420,-,-,3,-,-,50.6,-,1,6.73,32.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
295,Ariel Ibagaza,Villarreal,FW,14(10),1265,2,5,5,-,0.7,76.7,-,-,6.73,34.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
296,Aitor Ocio,Athletic Bilbao,D(C),3,270,-,-,2,-,-,81.5,0.7,-,6.73,34.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
297,Dani Toribio,Malaga,M(CR),17(4),1490,-,-,10,-,0.5,79.2,0.2,-,6.73,22.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
298,Fernando Amorebieta,Athletic Bilbao,D(CL),34,2958,-,-,13,2,0.1,74.9,1.1,1,6.73,25.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
299,David Rochela,Deportivo,Defender,3(1),315,-,-,-,-,-,83.2,1,-,6.73,20.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
300,Mikel Alonso,Tenerife,M(R),21(7),1960,1,1,3,-,0.9,77.8,0.3,-,6.72,30.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
301,Gustavo Munúa,Malaga,GK,38,3420,-,-,5,-,-,43.6,0.1,1,6.72,32.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
302,Rubén Baraja,Valencia,DMC,7(11),769,-,1,3,1,1.3,85.3,0.9,-,6.72,35.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
303,Oier,Osasuna,M(C),8(3),734,-,-,2,-,0.3,65.1,0.3,-,6.72,24.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
304,Fabio Celestini,Getafe,M(CR),22(2),1948,-,-,7,-,0.5,84.5,0.2,-,6.72,35.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
305,Sébastien Squillaci,Sevilla,D(C),14(2),1259,1,1,5,-,0.6,77.9,1.3,1,6.72,30.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
306,Pablo Orbaiz,Athletic Bilbao,M(C),17(3),1370,1,2,5,2,0.7,72.5,0.7,-,6.71,31.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
307,Juan Ángel Albín,Getafe,FW,12(11),1221,3,-,3,-,1.7,73.4,1,1,6.71,24.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
308,Diego Camacho,Sporting Gijon,M(R),16(7),1505,-,1,4,-,1.2,74.4,1,-,6.71,34.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
309,Sergio,Deportivo,M(CR),21(3),1871,-,1,1,1,0.8,80.8,0.3,-,6.71,34.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
310,Edmílson,Real Zaragoza,M(C),14(3),1226,-,1,3,-,0.2,82.7,0.9,-,6.71,34.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
311,Josemi,Mallorca,D(R),26(2),2239,-,1,4,1,0.4,61,0.9,-,6.71,31.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
