,name,club,position,apps,mins,goals,assists,yel,red,shots,ps%,aerials_won,motm,rating,age,tackles,interceptions,fouls,offsides_won,clearances,dribbled,blocks,own_goals,key_passes,dribblings,fouled,offsides,dispossed,bad_controls,avg_passes,crosses,long_passes,through_passes,league,season
45,Jirí Jarosik,Real Zaragoza,D(C),20,1800,2,1,6,-,0.6,81.7,1.5,1,7.27,33.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
46,Carles Puyol,Barcelona,D(C),31(1),2720,1,2,7,-,0.2,91.6,1.4,-,7.27,32.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
47,Álvaro Arbeloa,Real Madrid,D(LR),30,2649,2,2,10,-,0.3,87.3,0.9,-,7.27,27.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
48,Aritz Aduriz,Mallorca,FW,33(1),2798,12,4,10,-,2.4,67.2,3.5,3,7.26,29.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
49,Julio Álvarez,Mallorca,M(CR),21(5),1741,6,5,1,-,0.8,80.5,0.4,4,7.26,29.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
50,Maxwell,Barcelona,D(L),25,2167,-,4,5,-,0.2,87.5,1.2,-,7.26,29.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
51,Sergio Agüero,Atletico,FW,24(7),2205,12,4,6,-,2.8,77.3,0.1,3,7.25,22.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
52,Seydou Keita,Barcelona,M(C),23(6),2089,6,2,8,-,1.3,87.9,1.3,4,7.25,30.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
53,Ivica Dragutinovic,Sevilla,DMC,20,1793,2,1,7,-,0.2,79.9,1,-,7.23,35.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
54,Diego Godín,Villarreal,D(C),36,3184,3,2,8,1,0.5,71.8,1.9,6,7.23,24.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
55,Rafa,Getafe,D(CL),27,2430,2,-,11,-,0.3,84.5,1.5,2,7.22,25.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
56,Hernán Pellerano,Almeria,D(C),17(2),1545,-,-,3,-,0.2,78.1,1.1,1,7.22,26.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
57,Dídac Vilá,Espanyol,M(L),11,990,-,-,1,-,0.1,64.1,1.8,1,7.22,21.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
58,Roberto Jiménez,Real Zaragoza,GK,15,1350,-,-,3,-,-,40.5,-,1,7.22,24.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
59,Federico Fazio,Sevilla,D(C),10,826,1,-,-,-,0.7,76,2.5,2,7.21,23.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
