,name,club,position,apps,mins,goals,assists,yel,red,shots,ps%,aerials_won,motm,rating,tackles,interceptions,fouls,offsides_won,clearances,dribbled,blocks,own_goals,key_passes,dribblings,fouled,offsides,dispossed,bad_controls,avg_passes,crosses,long_passes,through_passes,league,season
433,Nico Schulz,Borussia M.Gladbach,M(L),0(1),19,-,-,-,-,-,71.4,-,-,6.13,-,-,-,-,-,-,-,-,-,1,-,-,-,-,7,-,-,-,Bundesliga,2015/2016
434,Johannes van den Bergh,Hertha Berlin,M(L),1(12),228,-,1,1,-,0.1,72.2,-,-,6.12,0.4,0.4,0.2,-,0.3,0.1,-,-,0.2,0.1,0.3,-,0.3,0.4,6.9,0.2,0.2,-,Bundesliga,2015/2016
435,Dario Kresic,Leverkusen,Goalkeeper,1,47,-,-,-,-,-,50,-,-,6.12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18,-,8,-,Bundesliga,2015/2016
436,Lukas Fröde,Werder Bremen,DMC,1(7),115,-,-,-,-,0.1,55.3,0.8,-,6.12,0.5,0.5,0.6,-,0.3,0.4,-,-,-,-,0.3,-,0.1,0.3,5.9,-,0.1,-,Bundesliga,2015/2016
437,Kaan Ayhan,Eintracht Frankfurt,DMC,1(1),79,-,-,1,-,-,82.9,0.5,-,6.11,1,0.5,0.5,0.5,3,-,1,-,-,-,0.5,0.5,-,-,17.5,-,1.5,-,Bundesliga,2015/2016
438,Zoltán Stieber,Hamburg,AM(CLR),0(2),6,-,-,-,-,-,100,-,-,6.11,-,0.5,-,-,-,-,-,-,-,-,-,-,-,0.5,1.5,-,0.5,-,Bundesliga,2015/2016
439,Julian Schieber,Hertha Berlin,FW,0(6),137,-,1,1,-,0.3,48.7,1.8,-,6.11,-,0.2,0.8,-,0.2,0.2,-,-,0.3,-,0.5,-,0.5,0.7,6.5,-,-,-,Bundesliga,2015/2016
440,Piotr Trochowski,Augsburg,M(CL),2(4),152,-,-,-,-,1,79,0.3,-,6.10,0.5,-,0.7,-,-,-,-,-,0.5,-,0.8,-,0.2,0.5,13.5,0.2,0.3,-,Bundesliga,2015/2016
441,Branimir Hrgota,Borussia M.Gladbach,FW,0(9),73,-,-,-,-,0.2,77.5,0.2,-,6.10,-,0.1,0.3,-,-,0.1,-,-,-,0.4,0.3,0.3,0.3,0.3,4.4,-,-,-,Bundesliga,2015/2016
442,Tim Dierßen,Hannover,Midfielder,0(1),19,-,-,-,-,-,33.3,-,-,6.10,1,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,Bundesliga,2015/2016
443,Sidney Sam,Schalke,M(CLR),0(2),15,-,-,-,-,1.5,60,-,-,6.10,-,-,-,-,-,0.5,-,-,-,0.5,0.5,-,-,-,5,-,-,-,Bundesliga,2015/2016
444,Felix Platte,Darmstadt,FW,1(10),142,-,-,1,-,0.4,52.1,0.8,-,6.09,0.3,0.1,0.5,-,-,0.1,-,-,0.2,0.3,0.4,0.1,0.2,0.5,4.4,-,0.2,-,Bundesliga,2015/2016
