,name,club,age,position,apps,mins,goals,assists,yel,red,shots,ps%,aerials_won,motm,rating,tackles,interceptions,fouls,offsides_won,clearances,dribbled,blocks,own_goals,key_passes,dribblings,fouled,offsides,dispossed,bad_controls,avg_passes,crosses,long_passes,through_passes,league,season
0,Lionel Messi,Barcelona,31,FW,32(4),2997,34,12,3,-,5.5,81.2,0.2,22,8.68,0.5,0.2,0.5,-,-,0.4,-,-,2.4,5.1,2.2,0.4,3,1.4,52.3,0.3,2.1,0.5,LaLiga,2017/2018
1,Cristiano Ronaldo,Real Madrid,33,FW,27,2293,26,5,1,-,6.6,81.6,1.3,7,7.94,0.3,0.2,0.7,-,0.5,0.2,0.1,-,1.4,1.1,0.7,1.5,1,1.6,27.1,0.3,0.5,0.1,LaLiga,2017/2018
2,Luis Suárez,Barcelona,31,FW,32(1),2902,25,12,9,-,3.7,76.9,0.4,5,7.72,0.5,0.2,1.4,0.1,0.9,0.5,0.1,-,1.7,1.2,1.5,1.7,1.2,2.4,31.9,-,1.4,0.2,LaLiga,2017/2018
3,Philippe Coutinho,Barcelona,26,M(CLR),16(2),1304,8,5,1,-,2.1,86.9,0.3,2,7.66,1.5,0.3,0.7,-,0.2,1.3,-,-,1.6,2.6,1.8,0.4,2,2.3,45.2,0.8,0.9,0.4,LaLiga,2017/2018
4,João Cancelo,Valencia,24,M(R),1,90,-,-,-,-,4,63.4,1,-,7.65,1,2,4,-,-,-,-,-,5,2,2,-,1,3,41,1,-,1,LaLiga,2017/2018
5,Marc Bartra,Real Betis,27,DMC,16,1421,1,-,6,-,0.8,85.8,3.2,2,7.54,2.4,2,1.3,0.9,5.9,1.1,0.6,-,0.3,1.4,1,-,0.4,0.9,68.3,0.1,5.2,0.1,LaLiga,2017/2018
6,Yoel Rodríguez,Eibar,30,GK,1,90,-,-,-,-,-,33.3,-,-,7.50,-,-,-,-,3,-,-,-,-,-,-,-,-,-,39,-,13,-,LaLiga,2017/2018
7,Casemiro,Real Madrid,26,DMC,30,2601,5,3,8,-,1.1,88.4,2.1,1,7.49,3.6,2.1,2,0.2,1.5,1.4,0.4,-,0.8,0.4,2.4,0.1,1.1,0.7,58.2,0.1,5.1,0.1,LaLiga,2017/2018
8,Gareth Bale,Real Madrid,29,FW,20(6),1803,16,2,5,-,3,82.5,1.3,6,7.49,0.7,0.5,1,-,0.5,0.4,-,-,1.6,1.2,0.6,0.5,0.8,1.3,26.8,0.6,1.4,-,LaLiga,2017/2018
9,Iago Aspas,Celta Vigo,31,FW,33(1),2938,22,5,9,-,2.8,78.8,0.5,11,7.49,0.8,0.7,0.7,-,0.3,0.9,-,-,2,1.7,1.8,0.3,1.4,2.1,36.3,0.3,1.5,0.2,LaLiga,2017/2018
10,Toni Kroos,Real Madrid,28,M(C),26(1),2268,5,7,4,-,1.5,93.1,0.4,-,7.47,2,0.6,0.8,-,0.3,1.4,0.1,-,2.4,0.9,1.4,0.1,0.5,0.7,76.7,1.7,6.2,0.1,LaLiga,2017/2018
11,Filipe Luís,Atletico,33,D(L),19(1),1660,1,2,4,-,0.3,83.4,0.9,2,7.45,4.2,1.8,0.8,0.3,1.6,0.7,0.4,-,1,1.3,1.4,0.1,0.7,0.9,47.4,0.3,1.8,-,LaLiga,2017/2018
12,Daniel Parejo,Valencia,29,M(C),34,3005,7,7,15,1,1.3,85.6,0.5,7,7.41,2.6,1,1.4,-,0.7,1.6,0.3,-,2.1,1.4,2,0.1,1.4,1,69.5,1.7,6.1,0.1,LaLiga,2017/2018
13,Jasper Cillessen,Barcelona,29,GK,1,90,-,-,-,-,-,76.9,-,-,7.41,-,-,-,-,1,-,-,-,-,-,-,-,-,-,26,-,2,-,LaLiga,2017/2018
14,Geoffrey Kondogbia,Valencia,25,DMC,30(1),2618,4,4,11,1,0.9,87.4,1.5,4,7.40,2.8,2,1.8,-,2.1,1.5,0.5,-,0.7,1.8,1.7,-,2,1.2,49.9,-,4,0.1,LaLiga,2017/2018
15,Saúl Ñíguez,Atletico,24,M(CLR),35(1),3157,2,3,9,-,1.5,82.4,2.1,2,7.40,3.7,1.5,1.9,-,2,1.8,0.3,-,0.6,1.6,1,0.1,0.9,1.1,46.9,-,1.8,0.1,LaLiga,2017/2018
16,Antoine Griezmann,Atletico,27,FW,30(2),2530,19,9,7,1,2.3,77.6,0.8,8,7.38,1.1,0.3,0.8,-,0.3,0.6,-,-,1.4,0.9,1.4,0.8,1,1.4,32.1,0.3,1.5,0.3,LaLiga,2017/2018
17,Achraf Hakimi,Real Madrid,20,M(R),8(1),757,2,-,-,-,0.3,86.5,1,1,7.34,2.3,1.1,0.9,0.2,1.8,1.6,0.1,-,0.6,2.4,0.7,0.1,1.6,1.1,45.2,0.3,1,-,LaLiga,2017/2018
18,Gerard Moreno,Espanyol,26,FW,38,3413,16,1,4,-,2.8,70,3.6,8,7.31,1.1,0.5,1.5,0.1,1.2,1.1,0.2,-,1.2,1.7,2.1,0.9,2.1,2.5,31.5,0.1,1.9,0.1,LaLiga,2017/2018
19,Asier Riesgo,Eibar,35,GK,1,90,-,-,-,-,-,35.5,2,-,7.29,-,-,-,-,1,-,-,-,-,-,-,-,-,-,31,-,11,-,LaLiga,2017/2018
20,Luka Modric,Real Madrid,33,M(C),23(3),1976,1,6,3,-,1.3,89.9,0.3,-,7.29,1.3,1.2,0.8,-,0.3,1,0.2,-,1.5,1.8,1.2,-,0.8,1,59.5,0.1,4.8,0.3,LaLiga,2017/2018
21,Sergio Busquets,Barcelona,30,DMC,30(1),2600,1,4,8,-,0.2,90.5,1.6,-,7.25,2.8,1.6,1.2,-,0.4,1.3,0.3,-,0.8,0.6,1.9,-,0.7,0.6,72.3,-,4.7,-,LaLiga,2017/2018
22,Lucas Hernández,Atletico,22,D(CL),24(3),2117,-,1,6,1,0.3,82.9,1.6,1,7.24,3.4,1.5,1.1,0.1,2.9,0.7,0.4,-,0.2,1.1,1.7,0.1,0.4,0.8,33.9,-,1.4,-,LaLiga,2017/2018
23,Jordi Alba,Barcelona,29,M(L),30(3),2745,2,8,8,-,0.5,86.8,0.5,2,7.22,1.9,2.1,1.1,0.5,1.5,0.8,0.2,-,1.2,0.7,0.6,0.5,0.4,0.9,63.7,0.2,1.7,-,LaLiga,2017/2018
24,Sergi Roberto,Barcelona,26,M(CR),24(6),2231,1,7,3,2,0.3,90.7,0.5,-,7.21,2.1,1.3,0.5,0.2,0.8,0.8,0.3,-,0.8,1.8,0.9,-,0.5,0.9,53.9,0.2,1.6,0.1,LaLiga,2017/2018
25,Asier Illarramendi,Real Sociedad,28,M(C),35(1),3165,7,5,8,1,1,87.5,0.7,6,7.21,2.4,2.1,0.9,0.1,0.8,1.5,0.2,-,0.9,0.8,1.9,-,0.7,0.9,69.9,0.5,3.6,0.1,LaLiga,2017/2018
26,Rodri,Villarreal,22,DMC,36(1),3228,1,3,8,-,0.9,90.1,2.7,3,7.20,2.8,1.4,2.1,0.1,2.6,1.5,0.6,-,0.6,0.7,0.9,0.1,0.6,0.6,66.8,-,4.4,-,LaLiga,2017/2018
27,Gabriel Pires,Leganes,25,FW,28(1),2388,5,2,6,1,1.5,67.4,3.9,5,7.20,3.1,1.3,1.9,-,0.9,1.6,0.1,-,0.7,1.7,1.8,-,1.8,1.8,40.3,0.1,2.3,0.1,LaLiga,2017/2018
28,Víctor López,Deportivo Alaves,21,Defender,1,61,-,1,-,-,1,61.5,-,-,7.18,2,1,-,1,1,1,-,-,2,-,-,1,-,2,13,2,1,-,LaLiga,2017/2018
29,Alejandro Granell,Girona,30,M(L),33(1),2855,1,7,11,-,1.3,79.5,0.7,5,7.18,2.3,1.4,2.1,-,0.8,2.2,0.1,-,2.2,1.4,1.1,-,1,0.9,49.2,1.9,5.4,0.1,LaLiga,2017/2018
