,name,club,age,position,apps,mins,goals,assists,yel,red,shots,ps%,aerials_won,motm,rating,tackles,interceptions,fouls,offsides_won,clearances,dribbled,blocks,own_goals,key_passes,dribblings,fouled,offsides,dispossed,bad_controls,avg_passes,crosses,long_passes,through_passes,league,season
0,Zlatan Ibrahimovic,PSG,33,FW,32(1),2774,26,11,7,-,4.9,76.4,2.1,9,7.79,0.3,0.3,2,-,0.9,0.1,-,-,2.1,0.8,1.3,1.2,2.1,2.6,44.7,0.2,2.8,0.3,Ligue 1,2013/2014
1,Loic Perrin,Saint-Etienne,29,D(C),34,2981,6,1,4,-,0.6,84.9,4.4,7,7.73,1.8,1.9,0.6,0.6,10.6,0.2,0.3,-,0.2,0.3,0.8,0.1,0.1,0.2,38.1,-,4.3,-,Ligue 1,2013/2014
2,Yassine Jebbour,Rennes,23,D(LR),2,180,-,1,-,-,-,85.9,3.5,-,7.61,5,2.5,2,-,8,-,0.5,-,2,0.5,1.5,-,1.5,2.5,49.5,1,2,-,Ligue 1,2013/2014
3,Nemanja Pejcinovic,Nice,27,D(CR),14(1),1324,1,-,2,-,0.4,87.2,3.1,-,7.52,3.3,3.1,1.3,1.3,6.7,0.3,0.8,1,0.1,0.4,1.2,-,0.3,0.3,50.5,-,4.3,-,Ligue 1,2013/2014
4,Jérémy Toulalan,Monaco,31,M(C),29,2504,1,1,6,-,0.7,82.6,2.9,4,7.51,3.1,2.5,1.2,-,2.9,1.2,0.2,-,0.4,1.1,2.3,-,0.7,0.9,65.7,0.1,3.4,0.1,Ligue 1,2013/2014
5,Mathieu Bodmer,Nice,32,M(C),27,2306,2,1,5,-,0.6,84,3.4,4,7.48,2,2.7,1,1,7,0.4,0.4,-,0.3,0.2,0.6,-,0.3,0.4,46.1,-,5.4,-,Ligue 1,2013/2014
6,Layvin Kurzawa,Monaco,22,M(L),28,2406,5,3,3,-,1.4,77.4,1.5,5,7.44,1.7,3.4,1.2,0.1,3.4,0.6,0.1,-,0.7,1.2,0.8,0.2,1.3,1.4,36.4,0.9,1,-,Ligue 1,2013/2014
7,James Rodríguez,Monaco,23,FW,30(4),2644,9,12,1,-,2.7,81.1,0.6,4,7.44,1.1,0.7,0.8,-,0.1,0.9,-,-,2.5,1.3,2.4,0.4,1.6,1.5,46.2,1.5,3.3,0.3,Ligue 1,2013/2014
8,Serge Aurier,Toulouse,22,M(R),34,3045,6,6,11,-,1.7,76.8,2.7,5,7.42,2.8,2.2,1.1,0.1,3,0.6,0.3,-,1,1.4,1.6,0.2,2.2,1.3,46.4,1.1,1.6,0.1,Ligue 1,2013/2014
9,Thiago Silva,PSG,30,D(C),28,2386,3,-,1,-,0.9,92.7,2.5,3,7.42,1.1,2.3,0.6,0.3,5.1,0.4,0.8,2,0.2,0.3,0.9,-,0.3,0.3,66.3,-,7.1,-,Ligue 1,2013/2014
10,Aristote Ndongala,Nantes,20,Midfielder,1,90,-,-,-,-,-,62.2,2,-,7.39,3,3,2,1,8,-,-,-,-,-,1,-,1,-,37,-,2,-,Ligue 1,2013/2014
11,Marko Basa,Lille,31,D(C),32,2789,2,2,2,-,0.8,91.1,3.6,5,7.38,1,1.8,0.6,0.8,7.7,0.2,0.6,1,0.4,0.5,0.9,-,0.2,0.2,41.2,-,2.9,-,Ligue 1,2013/2014
12,Christophe Jallet,PSG,31,M(L),13,1085,-,-,1,-,0.6,89,1.6,2,7.37,2.5,2.4,1.4,-,2.7,0.6,0.2,-,1.5,0.2,0.2,-,0.4,0.6,50.3,0.9,2,-,Ligue 1,2013/2014
13,Faouzi Ghoulam,Saint-Etienne,23,D(L),16(1),1466,1,4,2,-,0.9,72.1,2,2,7.36,2.2,1.8,0.8,0.2,4.4,0.8,0.4,-,0.8,0.7,1.5,-,0.2,0.8,29.7,0.7,1.4,0.1,Ligue 1,2013/2014
14,Rémy Cabella,Montpellier,24,FW,36(1),3206,14,5,2,-,2.7,79.5,0.5,8,7.36,2,0.9,0.7,-,0.2,0.9,-,-,2.2,1.2,2.8,0.4,2,1.6,41,1.4,1.2,0.2,Ligue 1,2013/2014
