,name,club,age,position,apps,mins,goals,assists,yel,red,shots,ps%,aerials_won,motm,rating,tackles,interceptions,fouls,offsides_won,clearances,dribbled,blocks,own_goals,key_passes,dribblings,fouled,offsides,dispossed,bad_controls,avg_passes,crosses,long_passes,through_passes,league,season
0,Philippe Coutinho,Liverpool,26,M(CLR),13(1),1116,7,6,-,-,3.9,78.8,0.1,6,8.03,1.2,0.7,0.4,-,0.1,1.3,-,-,2.9,2.8,1.5,0.3,1.9,1.4,49.3,1.4,2.7,0.4,Premier League,2017/2018
1,Sergio Agüero,Man City,30,FW,22(3),1969,21,6,2,-,3.8,82.8,0.4,4,7.81,0.4,0.2,0.4,-,0.1,0.6,-,-,1.6,2.2,0.7,0.6,1.7,2.2,25.1,0.2,0.2,0.1,Premier League,2017/2018
2,Alex Oxlade Chamberlain,Arsenal,25,M(CLR),3,242,-,-,-,-,3,84.6,1.3,1,7.81,1.7,2,0.3,-,2,0.3,0.7,-,1.7,5.7,0.3,0.3,1.3,1.7,41,1.3,3.3,-,Premier League,2017/2018
3,Kevin De Bruyne,Man City,27,FW,36(1),3085,8,16,2,-,2.5,83.4,0.4,8,7.80,1.7,0.7,0.8,-,0.3,1.5,0.1,-,2.9,1.7,0.9,0.1,1.6,1.7,72.8,1.6,3.5,0.4,Premier League,2017/2018
4,Henri Saivet,Newcastle,28,FW,1,84,1,-,-,-,1,62.5,2,-,7.70,5,4,-,-,8,3,-,-,-,-,-,-,-,-,24,-,-,-,Premier League,2017/2018
5,Mohamed Salah,Liverpool,26,FW,34(2),2922,32,10,1,-,4,76.7,0.4,8,7.69,0.3,0.1,0.4,-,0.1,0.6,-,-,1.7,2.2,0.8,0.5,2.6,2.9,26.3,0.8,0.5,0.1,Premier League,2017/2018
6,Eden Hazard,Chelsea,27,FW,28(6),2433,12,4,2,-,2.1,83.6,0.2,9,7.69,0.2,0.1,0.4,-,-,0.5,-,-,2.5,4.9,2.4,0.5,2.3,1.9,40.3,0.4,3,0.1,Premier League,2017/2018
7,Harry Kane,Tottenham,25,FW,35(2),3083,30,2,5,-,5,71.2,1.6,9,7.60,0.5,0.1,0.9,-,0.5,0.3,0.1,-,0.9,1.3,1.1,1.1,1.6,1.7,17.8,0.1,1.6,0.2,Premier League,2017/2018
8,David Silva,Man City,32,FW,28(1),2437,9,11,5,-,1.9,88.9,0.6,4,7.58,1.1,0.6,0.7,-,0.2,1.2,0.2,-,2.1,1.3,1.2,0.1,1,1.1,83.8,0.6,1.5,0.2,Premier League,2017/2018
9,Alexis Sánchez,Man Utd,30,FW,12,1048,2,3,1,-,1.6,76.1,0.5,4,7.55,1.8,1.4,0.8,-,-,1.9,-,-,2.2,3.7,2.6,0.8,2.9,2.7,48.5,0.7,1.9,0.3,Premier League,2017/2018
10,Raheem Sterling,Man City,24,FW,29(4),2593,18,11,3,1,2.6,84,0.2,4,7.55,0.6,0.3,1.2,-,0.2,0.9,-,-,1.7,1.9,1.8,0.6,1.8,2,35.5,0.2,0.2,0.2,Premier League,2017/2018
11,Leroy Sané,Man City,22,FW,27(5),2423,10,15,4,-,1.8,84.2,0.5,3,7.54,0.8,0.4,0.8,-,0.2,0.4,-,-,1.8,2.7,0.8,0.2,2,2.5,34.1,0.7,0.4,0.1,Premier League,2017/2018
12,Paulo Gazzaniga,Tottenham,26,GK,1,90,-,-,-,-,-,77.3,1,-,7.52,-,-,-,-,1,1,-,-,-,-,-,-,-,-,22,-,7,-,Premier League,2017/2018
13,Aaron Wan-Bissaka,Crystal Palace,21,M(R),7,628,-,-,1,-,-,72.9,1.3,-,7.52,4.1,2.1,0.3,0.1,4.9,0.6,1,-,0.4,1.9,0.4,-,0.9,1.3,29,0.6,0.7,-,Premier League,2017/2018
14,Paul Pogba,Man Utd,25,M(CL),25(2),2151,6,10,5,1,2.8,85.3,1.9,4,7.48,1.2,0.8,1.6,-,0.9,1,-,-,1.4,2.8,1.9,0.1,1.5,2.1,63.7,0.1,4.1,0.2,Premier League,2017/2018
15,Fernandinho,Man City,33,DMC,33(1),2885,5,3,7,-,1.4,90.1,2.8,1,7.44,1.8,1.4,1.2,0.1,1.9,1.2,0.2,-,0.6,0.6,0.8,-,0.6,1,87.5,-,3.1,0.3,Premier League,2017/2018
16,Jérémy Pied,Southampton,29,M(CLR),2,180,-,1,-,-,1,77.1,0.5,-,7.41,4.5,4,0.5,-,2,1.5,1,-,1,1,1,-,-,1.5,48,0.5,1.5,-,Premier League,2017/2018
17,Christian Eriksen,Tottenham,26,FW,37,3226,10,10,-,-,2.6,82.4,0.5,4,7.40,1.4,0.8,0.4,-,0.5,1.1,-,-,2.6,0.8,0.6,-,1.9,2,61,1.4,3.6,0.2,Premier League,2017/2018
18,Roberto Firmino,Liverpool,27,FW,32(5),2778,15,7,1,-,2.3,72.6,1.2,3,7.39,1.8,0.5,1.5,0.1,0.2,1.4,0.1,-,1.5,1.3,0.5,0.4,1.9,2.2,31.6,0.1,0.4,0.2,Premier League,2017/2018
