,name,club,age,position,apps,mins,goals,assists,yel,red,shots,ps%,aerials_won,motm,rating,tackles,interceptions,fouls,offsides_won,clearances,dribbled,blocks,own_goals,key_passes,dribblings,fouled,offsides,dispossed,bad_controls,avg_passes,crosses,long_passes,through_passes,league,season
0,James Milner,Aston Villa,25,M(CLR),1,85,1,-,-,-,6,80.8,-,-,9.14,5,6,1,-,1,2,-,-,2,1,2,-,3,-,52,1,7,-,Premier League,2010/2011
1,Javier Mascherano,Liverpool,27,M(C),1,79,-,1,-,-,-,86.5,-,-,8.01,6,3,4,-,-,3,-,-,1,1,1,-,1,-,37,-,2,1,Premier League,2010/2011
2,Paul Konchesky,Fulham,30,D(L),1,90,-,-,-,-,-,78.6,-,-,7.79,2,2,2,-,2,-,-,-,4,-,-,-,-,-,42,10,3,1,Premier League,2010/2011
3,Nani,Man Utd,25,FW,31(2),2674,9,14,1,-,4.1,80.3,0.4,8,7.71,1.6,1,1,-,0.5,0.7,0.1,-,2.4,2.5,1.9,0.1,2.4,2,35.8,2.3,0.7,0.2,Premier League,2010/2011
4,Luis Suárez,Liverpool,24,FW,12(1),1102,4,3,2,-,4.2,73,0.2,-,7.63,1.2,0.5,0.9,-,0.1,0.8,-,-,1.9,3.2,2.8,0.8,2,4,35.9,0.7,0.8,-,Premier League,2010/2011
5,Carlos Tevez,Man City,27,FW,30(1),2535,20,6,6,-,3.9,82.9,0.1,8,7.59,1,0.8,1.4,-,-,0.5,0.1,-,1.7,2,1.4,1,2.6,1.7,35.4,0.3,2.1,0.4,Premier League,2010/2011
6,Robin van Persie,Arsenal,28,FW,19(6),1768,18,7,4,-,3.9,79.7,1.1,6,7.56,0.8,0.3,1.3,-,1.1,0.2,0.1,-,1.8,0.7,0.8,0.4,1.6,1.2,25.8,0.7,0.7,0.2,Premier League,2010/2011
7,Cesc Fàbregas,Arsenal,24,FW,22(3),1887,3,11,5,-,2.8,80.5,0.2,2,7.55,1.6,1,1,-,0.8,1.1,0.2,-,2.9,1,2.2,0.2,2.4,1.4,63.9,0.4,3.1,1.5,Premier League,2010/2011
8,Didier Drogba,Chelsea,33,FW,30(6),2793,11,13,6,-,4.2,61.8,2.1,7,7.55,0.8,0.7,1.6,-,1,0.6,0.3,-,2,1.3,1.2,0.8,2.4,2.9,21.8,1.3,0.8,0.4,Premier League,2010/2011
9,Andy Carroll,Newcastle,22,FW,18(1),1624,11,3,4,-,3.9,60.9,7.1,3,7.54,0.7,0.5,2.5,0.1,2.2,0.1,0.2,-,1.1,0.5,1.6,0.3,1.7,2.3,32.7,0.1,0.6,0.2,Premier League,2010/2011
10,Danny Rose,Tottenham,21,M(L),4,352,-,1,-,-,0.5,80.3,1.5,-,7.53,3.3,2.5,0.3,0.8,3.8,0.5,0.3,-,0.8,2.5,3,-,0.8,1.8,55.8,0.5,4.3,-,Premier League,2010/2011
11,Steven Gerrard,Liverpool,31,M(C),20(1),1869,4,5,2,-,2.4,80.4,0.9,6,7.52,2.8,1.8,1.1,-,1.7,0.3,0.6,-,2.5,0.8,1,-,1.5,1.4,59.8,1.6,5.6,0.3,Premier League,2010/2011
12,Nemanja Vidic,Man Utd,30,D(C),35,3118,5,1,6,1,0.6,81.2,2.9,5,7.51,2.1,2.6,1.1,0.4,9.5,0.2,0.9,-,0.1,-,1,-,0.1,0.2,46.7,-,4.5,-,Premier League,2010/2011
13,Mike Pollitt,Wigan,39,Goalkeeper,0(1),28,-,-,-,-,-,22.2,1,-,7.49,-,-,-,-,1,-,-,-,-,-,-,-,-,-,9,-,2,-,Premier League,2010/2011
14,Charlie Adam,Blackpool,26,M(C),34(1),3051,12,8,11,-,3.2,72,1.6,5,7.48,2.1,1.9,2,0.1,2.8,1.4,0.5,1,2.1,1.7,2.6,-,1.8,1.3,53.9,1.3,7.5,0.3,Premier League,2010/2011
15,Florent Malouda,Chelsea,31,M(CL),33(5),2810,13,4,1,-,2.3,83.4,0.7,4,7.44,0.7,1.1,0.6,-,0.5,0.4,0.1,-,3.1,1.5,0.9,0.4,2,1.3,43.7,2.1,1.4,0.2,Premier League,2010/2011
16,Rafael van der Vaart,Tottenham,28,M(C),28,2240,13,8,4,-,4,84.2,0.2,3,7.44,2.1,0.8,1.3,-,0.1,0.7,0.1,-,2.4,0.7,1.6,0.1,2.1,1.9,44.1,1.3,3.8,0.3,Premier League,2010/2011
17,Stuart Holden,Bolton,26,M(CR),26,2296,2,2,2,-,1.3,75.5,1,2,7.43,4.5,2.6,0.9,-,1.7,1.2,0.1,-,1.3,0.6,1.2,-,1.3,1.5,36.4,1.4,2.7,-,Premier League,2010/2011
18,Antolín Alcáraz,Wigan,29,D(C),34,3029,1,1,6,1,0.4,78.1,3.1,4,7.42,3.8,3.5,0.7,0.7,8.3,0.7,0.7,-,0.2,0.4,0.9,-,0.4,0.4,42.4,0.1,4.4,-,Premier League,2010/2011
19,Vincent Kompany,Man City,25,D(C),37,3330,-,1,6,-,0.3,85.6,2,2,7.42,2.7,2.4,1.2,0.5,9.1,0.3,0.9,-,0.4,0.5,0.3,-,0.4,0.4,48.1,-,3.9,0.1,Premier League,2010/2011
20,Ledley King,Tottenham,31,DMC,6,494,-,-,-,-,0.3,85.8,3.3,-,7.40,2.8,1.8,0.3,0.2,7.7,0.3,1.2,-,0.2,-,0.7,-,0.2,0.2,38.7,-,2,-,Premier League,2010/2011
21,Brede Hangeland,Fulham,30,D(C),37,3330,6,1,5,-,0.5,76.6,3.3,4,7.39,1.6,2.2,1.1,0.6,11.4,0.6,1.1,2,0.3,0.3,0.7,-,0.2,0.1,41.8,-,2.1,-,Premier League,2010/2011
22,Alexandre Song,Arsenal,24,M(C),30(1),2595,4,2,7,1,0.7,86.2,1.3,2,7.38,3.3,2.6,2.2,0.1,2,0.9,0.4,-,1.1,1.1,1.3,-,2,1.3,60.9,0.1,2,0.2,Premier League,2010/2011
23,Wayne Rooney,Man Utd,26,FW,25(3),2226,11,11,5,-,3.5,76.9,0.9,3,7.38,0.4,0.3,0.9,-,0.3,0.4,0.1,-,2.1,0.9,1,0.6,2,1.6,42.3,0.4,4.6,0.5,Premier League,2010/2011
24,Gareth Bale,Tottenham,22,FW,29(1),2452,7,1,1,-,2.1,74.3,1.1,3,7.38,1.5,1.6,0.4,0.1,1.6,0.4,0.2,-,1.6,2.1,1.9,0.3,1.4,1.8,28.8,2,1.2,0.1,Premier League,2010/2011
25,Michael Dawson,Tottenham,28,D(C),24,2160,1,-,6,-,0.6,79.9,4,2,7.38,2,2,0.8,0.6,11.1,0.8,1.1,-,0.2,-,0.8,-,0.2,0.3,43.8,0.1,6.2,-,Premier League,2010/2011
26,Frank Lampard,Chelsea,33,M(C),23(1),2026,10,2,2,-,3.2,82.2,0.1,2,7.37,2.2,1.2,0.4,-,0.8,0.8,0.3,-,2.2,0.3,0.5,0.1,1.1,0.5,53.5,1.1,3.7,0.2,Premier League,2010/2011
27,Piscu,Wigan,24,D(C),1,69,-,-,-,-,-,67.7,-,-,7.36,3,5,-,-,2,6,-,-,-,2,1,-,-,1,31,-,2,-,Premier League,2010/2011
28,Joey Barton,Newcastle,29,M(C),32,2880,4,9,8,-,1.8,75.3,0.7,4,7.35,2.5,1.7,1.3,0.1,0.7,1.4,0.3,-,2.5,0.4,2,-,1.8,1.1,50.5,2.8,5.7,0.3,Premier League,2010/2011
29,Luka Modric,Tottenham,26,M(C),32,2801,3,2,3,-,1.7,86.5,0.6,2,7.34,1.9,2.5,0.5,-,0.6,1,0.2,-,2.1,2.2,1.4,0.1,2.1,1.5,62.5,0.4,5.6,0.1,Premier League,2010/2011
30,Gaël Clichy,Arsenal,26,D(L),33,2970,-,1,3,-,0.4,80.3,1.7,1,7.34,3.4,3.2,1,0.1,4.5,0.8,0.3,-,0.6,0.6,0.5,0.1,0.7,0.4,54.1,0.5,1.9,-,Premier League,2010/2011
31,James Tomkins,West Ham,22,D(CR),18(1),1582,1,1,3,-,0.7,79,2.9,2,7.34,2.6,2.4,0.9,0.7,8.5,0.8,1.2,-,0.3,0.1,0.7,-,0.2,0.3,27.4,-,2.4,-,Premier League,2010/2011
32,Alex,Chelsea,29,D(C),12(3),1111,2,-,3,-,0.7,90.1,2.1,2,7.34,2.7,2,0.6,0.7,4.9,0.3,0.9,-,0.3,0.2,0.2,-,0.1,0.2,38.3,-,3.1,-,Premier League,2010/2011
33,Christopher Samba,Blackburn,27,D(C),33,2883,4,-,3,1,1.5,64.1,3.6,3,7.33,1.5,2.1,1.2,0.8,10.9,0.2,1.2,-,0.3,0.1,0.6,0.1,0.2,0.2,21.2,-,1.6,-,Premier League,2010/2011
34,Dimitar Berbatov,Man Utd,30,FW,24(8),2210,20,3,1,-,3.1,80.3,1.3,6,7.32,0.3,0.5,1.1,-,0.7,0.2,0.1,-,1.1,1,0.5,1.1,1.4,1.3,27.1,0.1,0.3,0.2,Premier League,2010/2011
35,John Terry,Chelsea,31,D(C),33,2962,3,1,6,-,0.8,87.6,2.9,2,7.31,2.2,1.6,0.9,0.6,5.1,0.4,0.8,-,0.4,0.2,0.8,0.1,0.1,0.2,58.4,-,3.1,-,Premier League,2010/2011
36,Raul Meireles,Liverpool,28,M(C),32(1),2547,5,5,5,-,1.9,78.5,0.2,4,7.31,2.4,2.1,0.8,-,0.7,1.1,0.2,-,2,0.5,0.9,0.1,0.9,1.3,40.8,1.5,2,0.1,Premier League,2010/2011
37,Kevin Davies,Bolton,34,FW,38,3387,8,5,10,-,1.6,55.8,6.4,7,7.31,1.6,0.8,3.2,-,1.5,0.6,0.1,-,2.4,0.2,2,0.3,1.7,1.9,43.7,0.3,0.8,0.2,Premier League,2010/2011
38,Marcos Alonso,Bolton,20,M(L),4,360,-,-,3,-,0.5,58.6,2.3,-,7.31,4.3,2,1,0.3,5.3,1,0.8,-,1,0.3,2.5,-,0.3,0.8,36.3,1,1.3,-,Premier League,2010/2011
39,Samir Nasri,Arsenal,24,M(CLR),28(2),2392,10,1,4,-,2.7,87.6,0.1,4,7.31,1,0.9,0.6,-,0.3,0.5,0.1,-,2,2,0.6,0.4,2.4,1.5,48.9,0.7,1.2,0.3,Premier League,2010/2011
40,Gary Cahill,Bolton,26,D(C),36,3214,3,-,7,1,1.2,71.6,4,7,7.30,1.8,1.8,1,1.5,10.7,0.4,1.1,-,0.3,0.5,1.1,-,0.4,0.6,27.7,-,2.3,-,Premier League,2010/2011
41,Manuel da Costa,West Ham,25,D(C),14(2),1293,1,-,3,-,1.7,70.9,4.1,1,7.29,2.1,2.4,1.7,0.8,8.6,0.8,0.9,-,0.3,0.6,0.8,-,0.8,0.8,27.3,-,3.4,-,Premier League,2010/2011
42,Dirk Kuyt,Liverpool,31,FW,32(1),2821,13,7,3,-,1.9,73.6,1.5,2,7.29,2.3,1.6,1.3,-,0.8,1,0.1,-,1.7,0.9,1.1,0.6,2.5,1.9,42,0.4,1.2,0.2,Premier League,2010/2011
43,Antonio Valencia,Man Utd,26,M(R),8(2),741,1,2,1,-,0.7,86.1,0.4,2,7.27,2,1,1.3,-,0.4,-,-,-,2.5,1.5,0.4,0.1,1.6,1.4,38,2.1,1.4,-,Premier League,2010/2011
44,Pablo Zabaleta,Man City,26,M(R),21(5),1946,2,2,8,1,0.7,79.3,1.7,2,7.27,3.1,2.7,1.5,0.2,3.5,1.1,0.3,-,0.7,0.3,1.1,0.1,0.7,0.7,36.6,0.3,0.8,-,Premier League,2010/2011
45,Scott Parker,West Ham,31,M(C),30(2),2738,5,2,8,-,1.1,83.1,0.3,4,7.27,3.8,2.6,1.4,-,1.4,1.2,0.9,-,1.3,0.9,1.5,0.1,2,1.3,45.1,0.2,3.5,0.1,Premier League,2010/2011
46,Thomas Hitzlsperger,West Ham,29,AM(C),11,990,2,4,1,-,3,80,0.5,2,7.27,1.7,1.4,1.2,-,1.3,0.8,-,-,3.2,0.2,0.6,-,0.8,0.9,46.8,2.3,2.9,0.4,Premier League,2010/2011
47,Kyle Walker,Aston Villa,21,M(R),15,1338,1,3,3,-,0.3,77,1.9,1,7.27,2.7,2,0.8,0.1,3.3,0.6,0.4,-,1,1.7,1.7,0.2,0.7,1.1,41.7,0.7,1.3,0.1,Premier League,2010/2011
