,name,club,age,position,apps,mins,goals,assists,yel,red,shots,ps%,aerials_won,motm,rating,tackles,interceptions,fouls,offsides_won,clearances,dribbled,blocks,own_goals,key_passes,dribblings,fouled,offsides,dispossed,bad_controls,avg_passes,crosses,long_passes,through_passes,league,season
0,Lionel Messi,Barcelona,29,FW,31(2),2730,26,16,3,-,4.8,81.9,0.2,13,8.46,0.3,0.2,0.4,-,-,0.2,-,-,2.3,3.5,1.8,0.3,2.2,0.9,55.7,0.4,3.5,1,LaLiga,2015/2016
1,Neymar,Barcelona,24,FW,34,3057,24,12,6,-,3.6,80.9,0.6,7,8.43,0.8,0.3,1.4,-,-,0.5,-,-,3,4.2,3.8,0.7,2.7,2.3,53.4,1.1,1.9,0.3,LaLiga,2015/2016
2,Gareth Bale,Real Madrid,27,FW,21(2),1741,19,10,2,-,3.5,79.9,0.9,5,8.12,0.5,0.9,0.6,-,0.3,0.4,0.1,-,2.2,1.8,1.2,0.7,0.8,1.3,30.3,0.8,1.3,0.3,LaLiga,2015/2016
3,Luis Suárez,Barcelona,29,FW,35,3150,40,16,6,-,3.9,73.1,0.4,8,8.00,0.7,0.2,1.2,-,0.5,0.4,0.1,-,1.6,1.2,1.7,1.7,1.2,2,26.5,0.1,0.7,0.1,LaLiga,2015/2016
4,Cristiano Ronaldo,Real Madrid,31,FW,36,3185,35,11,3,-,6.3,79.4,1.6,8,7.99,0.3,0.2,0.6,-,0.4,0.3,0.1,-,1.4,1.4,1.1,1.4,1.2,1.2,29.7,0.3,0.3,-,LaLiga,2015/2016
5,Karim Benzema,Real Madrid,29,FW,26(1),1994,24,7,1,-,3.6,81.5,0.4,3,7.65,0.3,0.1,0.6,-,0.5,0.1,-,-,1.6,0.6,0.8,0.7,1.3,1.3,24.8,-,0.6,0.1,LaLiga,2015/2016
6,Filipe Luís,Atletico,31,D(L),32,2834,1,4,11,1,0.3,82.5,1.3,3,7.60,3.9,2.7,0.9,-,1.7,0.5,0.2,-,0.9,2.2,0.9,-,0.8,1,51.9,0.7,1.5,-,LaLiga,2015/2016
7,Diego Godín,Atletico,30,D(C),31,2651,1,1,5,1,0.8,78.4,3,6,7.52,2.3,3.3,1.2,0.1,5.1,0.3,0.3,-,0.2,0.4,1.1,0.1,0.2,0.4,35.7,-,3,-,LaLiga,2015/2016
8,Antoine Griezmann,Atletico,25,FW,36(2),3058,22,5,5,-,2.4,78.3,1.5,8,7.50,1.5,1,0.8,-,0.8,0.7,0.1,-,1.4,0.8,1,0.4,1.3,1.8,35.7,0.3,1.3,0.1,LaLiga,2015/2016
9,Koke,Atletico,24,M(CLR),34(1),2973,5,14,4,-,1.2,82,0.7,2,7.49,2.9,1.4,1,-,0.8,1.3,0.1,-,2.2,0.4,1.5,-,1.6,1.3,57.8,1.4,1.9,0.2,LaLiga,2015/2016
10,Nolito,Celta Vigo,30,AM(CL),27(2),2473,12,7,9,-,2.8,67.6,0.6,9,7.44,1.7,0.9,1.4,-,0.1,0.8,-,-,2.1,2,2.1,1.1,2.1,1.8,38.9,1,2.1,0.5,LaLiga,2015/2016
11,Marcelo,Real Madrid,28,M(L),28(2),2474,2,3,2,-,0.6,84.3,0.2,2,7.44,2.5,1.8,0.5,0.2,0.9,1.1,0.2,-,1.7,1.9,1.1,0.1,0.7,0.8,58.1,1.1,3.5,-,LaLiga,2015/2016
12,Saúl Ñíguez,Atletico,22,M(CLR),26(5),2329,4,2,1,-,1.5,76.3,2.6,3,7.37,3,1.8,1.5,0.1,1.5,1.1,0.4,-,0.6,1,0.8,0.2,1.2,1.5,36.6,0.2,0.8,-,LaLiga,2015/2016
13,Luka Modric,Real Madrid,31,M(C),31(1),2629,2,4,5,-,1.1,90.9,0.3,6,7.37,1.5,1.9,0.8,-,0.2,0.7,0.1,-,1.9,1.5,1.4,0.1,1.1,0.7,68.3,0.7,4.5,0.2,LaLiga,2015/2016
14,Aritz Aduriz,Athletic Bilbao,35,FW,30(4),2776,20,6,9,-,2.7,60.6,4.8,6,7.37,0.7,0.3,1.6,-,0.7,0.2,0.1,-,1,0.5,2,1.1,2.4,2.3,21,0.1,0.2,0.1,LaLiga,2015/2016
15,Toni Kroos,Real Madrid,26,M(C),32,2745,1,10,3,-,0.6,93.9,0.3,-,7.33,2,1.3,1.1,-,0.3,1.7,0.1,-,1.8,0.8,1.5,-,0.4,0.4,75.8,1.2,7.3,0.1,LaLiga,2015/2016
16,Shkodran Mustafi,Valencia,24,D(CR),30,2682,2,-,14,-,0.7,81.3,3,4,7.33,2.7,4.4,1.1,0.6,5.3,0.8,0.7,1,0.1,0.2,0.7,0.2,0.2,0.3,47,-,5.4,-,LaLiga,2015/2016
17,James Rodríguez,Real Madrid,25,FW,17(9),1518,7,8,1,-,1.5,86.9,0.2,2,7.32,1.3,0.6,0.5,-,0.1,1,-,-,2.3,0.7,0.7,0.2,0.9,1,41.4,1.5,2,0.3,LaLiga,2015/2016
18,Casemiro,Real Madrid,24,DMC,17(6),1526,1,3,7,-,0.9,87.2,1.9,1,7.30,3.1,2,1.7,-,1.4,1.6,0.4,-,0.3,0.4,1.6,-,0.4,0.6,44.4,-,4.8,-,LaLiga,2015/2016
19,Sergio Busquets,Barcelona,28,DMC,34(1),2906,-,4,6,-,0.2,89.8,1.7,1,7.28,2.9,1.9,0.9,0.1,0.7,1.1,0.1,-,0.5,0.3,1.9,-,0.7,0.4,69.2,0.1,4.7,0.1,LaLiga,2015/2016
20,Danilo,Real Madrid,25,DMC,23(1),2044,2,5,6,-,0.8,86,1.3,-,7.27,2.9,2.3,1.5,0.2,1.7,0.7,0.1,-,0.8,0.6,0.8,0.1,0.3,0.4,51.8,0.5,2,-,LaLiga,2015/2016
21,Asier Illarramendi,Real Sociedad,26,M(C),32(1),2847,1,1,15,-,0.7,81,1.8,2,7.27,3.1,3.5,1.3,0.1,1.5,1.1,0.2,-,0.9,0.8,2,-,1.1,0.9,52.7,0.6,4.4,0.2,LaLiga,2015/2016
22,Pepe,Real Madrid,33,D(C),21,1887,1,1,5,-,0.6,87.6,2.7,-,7.27,1.6,2.5,0.8,0.3,3.4,0.4,1,-,0.3,0.3,1.1,-,0.1,0.4,54.2,0.1,2.6,0.1,LaLiga,2015/2016
23,Raúl García,Athletic Bilbao,30,FW,27(3),2375,7,6,10,-,2.6,63.7,3.7,2,7.25,2.3,1.1,2.3,-,1.1,1.1,0.1,-,0.8,0.4,2.5,0.4,1.3,1.8,30.8,0.1,1,0.1,LaLiga,2015/2016
