,position,club,league,season
0,1,ManchesterCity,Premier League,2017/2018
1,2,ManchesterUnited,Premier League,2017/2018
2,3,Tottenham,Premier League,2017/2018
3,4,Liverpool,Premier League,2017/2018
4,5,Chelsea,Premier League,2017/2018
5,6,Arsenal,Premier League,2017/2018
6,7,Burnley,Premier League,2017/2018
7,8,Everton,Premier League,2017/2018
8,9,Leicester,Premier League,2017/2018
9,10,Newcastle,Premier League,2017/2018
10,11,CrystalPalace,Premier League,2017/2018
11,12,Bournemouth,Premier League,2017/2018
12,13,WestHam,Premier League,2017/2018
13,14,Watford,Premier League,2017/2018
14,15,Brighton,Premier League,2017/2018
15,16,Huddersfield,Premier League,2017/2018
16,17,Southampton,Premier League,2017/2018
17,18,Swansea,Premier League,2017/2018
18,19,Stoke,Premier League,2017/2018
19,20,WestBromwich,Premier League,2017/2018
