,position,club,league,season
0,1,ManchesterCity,Premier League,2018/2019
1,2,Liverpool,Premier League,2018/2019
2,3,Chelsea,Premier League,2018/2019
3,4,Tottenham,Premier League,2018/2019
4,5,Arsenal,Premier League,2018/2019
5,6,ManchesterUnited,Premier League,2018/2019
6,7,Wolverhampton,Premier League,2018/2019
7,8,Everton,Premier League,2018/2019
8,9,Leicester,Premier League,2018/2019
9,10,WestHam,Premier League,2018/2019
10,11,Watford,Premier League,2018/2019
11,12,CrystalPalace,Premier League,2018/2019
12,13,Newcastle,Premier League,2018/2019
13,14,Bournemouth,Premier League,2018/2019
14,15,Burnley,Premier League,2018/2019
15,16,Southampton,Premier League,2018/2019
16,17,Brighton,Premier League,2018/2019
17,18,Cardiff,Premier League,2018/2019
18,19,Fulham,Premier League,2018/2019
19,20,Huddersfield,Premier League,2018/2019
