,position,club,league,season
0,1,ManchesterCity,Premier League,2013/2014
1,2,Liverpool,Premier League,2013/2014
2,3,Chelsea,Premier League,2013/2014
3,4,Arsenal,Premier League,2013/2014
4,5,Everton,Premier League,2013/2014
5,6,Tottenham,Premier League,2013/2014
6,7,ManchesterUnited,Premier League,2013/2014
7,8,Southampton,Premier League,2013/2014
8,9,Stoke,Premier League,2013/2014
9,10,Newcastle,Premier League,2013/2014
10,11,CrystalPalace,Premier League,2013/2014
11,12,Swansea,Premier League,2013/2014
12,13,WestHam,Premier League,2013/2014
13,14,Sunderland,Premier League,2013/2014
14,15,AstonVilla,Premier League,2013/2014
15,16,Hull,Premier League,2013/2014
16,17,WestBromwich,Premier League,2013/2014
17,18,Norwich,Premier League,2013/2014
18,19,Fulham,Premier League,2013/2014
19,20,Cardiff,Premier League,2013/2014
