,position,club,league,season
0,1,ParisSaintGermain,Ligue 1,2015/2016
1,2,Lyon,Ligue 1,2015/2016
2,3,Monaco,Ligue 1,2015/2016
3,4,Nice,Ligue 1,2015/2016
4,5,Lille,Ligue 1,2015/2016
5,6,SaintEtienne,Ligue 1,2015/2016
6,7,Caen,Ligue 1,2015/2016
7,8,Rennes,Ligue 1,2015/2016
8,9,Angers,Ligue 1,2015/2016
9,10,SCBastia,Ligue 1,2015/2016
10,11,Bordeaux,Ligue 1,2015/2016
11,12,Montpellier,Ligue 1,2015/2016
12,13,Marseille,Ligue 1,2015/2016
13,14,Nantes,Ligue 1,2015/2016
14,15,Lorient,Ligue 1,2015/2016
15,16,Guingamp,Ligue 1,2015/2016
16,17,Toulouse,Ligue 1,2015/2016
17,18,Reims,Ligue 1,2015/2016
18,19,GFCAjaccio,Ligue 1,2015/2016
19,20,Troyes,Ligue 1,2015/2016
