,position,club,league,season
0,1,ParisSaintGermain,Ligue 1,2017/2018
1,2,Monaco,Ligue 1,2017/2018
2,3,Lyon,Ligue 1,2017/2018
3,4,Marseille,Ligue 1,2017/2018
4,5,Rennes,Ligue 1,2017/2018
5,6,Bordeaux,Ligue 1,2017/2018
6,7,SaintEtienne,Ligue 1,2017/2018
7,8,Nice,Ligue 1,2017/2018
8,9,Nantes,Ligue 1,2017/2018
9,10,Montpellier,Ligue 1,2017/2018
10,11,Dijon,Ligue 1,2017/2018
11,12,Guingamp,Ligue 1,2017/2018
12,13,Amiens,Ligue 1,2017/2018
13,14,Angers,Ligue 1,2017/2018
14,15,Strasbourg,Ligue 1,2017/2018
15,16,Caen,Ligue 1,2017/2018
16,17,Lille,Ligue 1,2017/2018
17,18,Toulouse,Ligue 1,2017/2018
18,19,Troyes,Ligue 1,2017/2018
19,20,Metz,Ligue 1,2017/2018
