,position,club,league,season
0,1,BayernMunich,Bundesliga,2019/2020
1,2,BorussiaDortmund,Bundesliga,2019/2020
2,3,RBLeipzig,Bundesliga,2019/2020
3,4,BorussiaMGladbach,Bundesliga,2019/2020
4,5,BayerLeverkusen,Bundesliga,2019/2020
5,6,Hoffenheim,Bundesliga,2019/2020
6,7,Wolfsburg,Bundesliga,2019/2020
7,8,Freiburg,Bundesliga,2019/2020
8,9,EintrachtFrankfurt,Bundesliga,2019/2020
9,10,HerthaBerlin,Bundesliga,2019/2020
10,11,UnionBerlin,Bundesliga,2019/2020
11,12,Schalke,Bundesliga,2019/2020
12,13,Mainz,Bundesliga,2019/2020
13,14,FCKoln,Bundesliga,2019/2020
14,15,Augsburg,Bundesliga,2019/2020
15,16,WerderBremen,Bundesliga,2019/2020
16,17,FortunaDuesseldorf,Bundesliga,2019/2020
17,18,Paderborn,Bundesliga,2019/2020
