,position,club,league,season
0,1,BayernMunich,Bundesliga,2021/2022
1,2,BorussiaDortmund,Bundesliga,2021/2022
2,3,BayerLeverkusen,Bundesliga,2021/2022
3,4,RBLeipzig,Bundesliga,2021/2022
4,5,UnionBerlin,Bundesliga,2021/2022
5,6,Freiburg,Bundesliga,2021/2022
6,7,FCKoln,Bundesliga,2021/2022
7,8,Mainz,Bundesliga,2021/2022
8,9,Hoffenheim,Bundesliga,2021/2022
9,10,BorussiaMGladbach,Bundesliga,2021/2022
10,11,EintrachtFrankfurt,Bundesliga,2021/2022
11,12,Wolfsburg,Bundesliga,2021/2022
12,13,Bochum,Bundesliga,2021/2022
13,14,Augsburg,Bundesliga,2021/2022
14,15,VfBStuttgart,Bundesliga,2021/2022
15,16,HerthaBerlin,Bundesliga,2021/2022
16,17,ArminiaBielefeld,Bundesliga,2021/2022
17,18,GreutherFuerth,Bundesliga,2021/2022
