,position,club,league,season
0,1,ManchesterCity,Premier League,2021/2022
1,2,Liverpool,Premier League,2021/2022
2,3,Chelsea,Premier League,2021/2022
3,4,Tottenham,Premier League,2021/2022
4,5,Arsenal,Premier League,2021/2022
5,6,ManchesterUnited,Premier League,2021/2022
6,7,WestHam,Premier League,2021/2022
7,8,Leicester,Premier League,2021/2022
8,9,Brighton,Premier League,2021/2022
9,10,Wolverhampton,Premier League,2021/2022
10,11,Newcastle,Premier League,2021/2022
11,12,CrystalPalace,Premier League,2021/2022
12,13,Brentford,Premier League,2021/2022
13,14,AstonVilla,Premier League,2021/2022
14,15,Southampton,Premier League,2021/2022
15,16,Everton,Premier League,2021/2022
16,17,Leeds,Premier League,2021/2022
17,18,Burnley,Premier League,2021/2022
18,19,Watford,Premier League,2021/2022
19,20,Norwich,Premier League,2021/2022
