,position,club,league,season
0,1,Juventus,Serie A,2017/2018
1,2,Napoli,Serie A,2017/2018
2,3,Roma,Serie A,2017/2018
3,4,Inter,Serie A,2017/2018
4,5,Lazio,Serie A,2017/2018
5,6,ACMilan,Serie A,2017/2018
6,7,Atalanta,Serie A,2017/2018
7,8,Fiorentina,Serie A,2017/2018
8,9,Sampdoria,Serie A,2017/2018
9,10,Torino,Serie A,2017/2018
10,11,Sassuolo,Serie A,2017/2018
11,12,Genoa,Serie A,2017/2018
12,13,Chievo,Serie A,2017/2018
13,14,Udinese,Serie A,2017/2018
14,15,Cagliari,Serie A,2017/2018
15,16,Bologna,Serie A,2017/2018
16,17,SPAL,Serie A,2017/2018
17,18,Crotone,Serie A,2017/2018
18,19,Verona,Serie A,2017/2018
19,20,Benevento,Serie A,2017/2018
