,position,club,league,season
0,1,ManchesterUnited,Premier League,2010/2011
1,2,Chelsea,Premier League,2010/2011
2,3,ManchesterCity,Premier League,2010/2011
3,4,Arsenal,Premier League,2010/2011
4,5,Tottenham,Premier League,2010/2011
5,6,Liverpool,Premier League,2010/2011
6,7,Everton,Premier League,2010/2011
7,8,Fulham,Premier League,2010/2011
8,9,AstonVilla,Premier League,2010/2011
9,10,Sunderland,Premier League,2010/2011
10,11,WestBromwich,Premier League,2010/2011
11,12,Newcastle,Premier League,2010/2011
12,13,Stoke,Premier League,2010/2011
13,14,Bolton,Premier League,2010/2011
14,15,Blackburn,Premier League,2010/2011
15,16,Wigan,Premier League,2010/2011
16,17,Wolverhampton,Premier League,2010/2011
17,18,Birmingham,Premier League,2010/2011
18,19,Blackpool,Premier League,2010/2011
19,20,WestHam,Premier League,2010/2011
