,position,club,league,season
0,1,BayernMunich,Bundesliga,2013/2014
1,2,BorussiaDortmund,Bundesliga,2013/2014
2,3,Schalke,Bundesliga,2013/2014
3,4,BayerLeverkusen,Bundesliga,2013/2014
4,5,Wolfsburg,Bundesliga,2013/2014
5,6,BorussiaMGladbach,Bundesliga,2013/2014
6,7,Mainz,Bundesliga,2013/2014
7,8,Augsburg,Bundesliga,2013/2014
8,9,Hoffenheim,Bundesliga,2013/2014
9,10,Hannover,Bundesliga,2013/2014
10,11,HerthaBerlin,Bundesliga,2013/2014
11,12,WerderBremen,Bundesliga,2013/2014
12,13,EintrachtFrankfurt,Bundesliga,2013/2014
13,14,Freiburg,Bundesliga,2013/2014
14,15,VfBStuttgart,Bundesliga,2013/2014
15,16,HamburgerSV,Bundesliga,2013/2014
16,17,Nuernberg,Bundesliga,2013/2014
17,18,EintrachtBraunschweig,Bundesliga,2013/2014
