,position,club,league,season
0,1,Juventus,Serie A,2011/2012
1,2,ACMilan,Serie A,2011/2012
2,3,Udinese,Serie A,2011/2012
3,4,Lazio,Serie A,2011/2012
4,5,Napoli,Serie A,2011/2012
5,6,Inter,Serie A,2011/2012
6,7,Roma,Serie A,2011/2012
7,8,ParmaCalcio,Serie A,2011/2012
8,9,Bologna,Serie A,2011/2012
9,10,Chievo,Serie A,2011/2012
10,11,Catania,Serie A,2011/2012
11,12,Atalanta,Serie A,2011/2012
12,13,Fiorentina,Serie A,2011/2012
13,14,Siena,Serie A,2011/2012
14,15,Cagliari,Serie A,2011/2012
15,16,Palermo,Serie A,2011/2012
16,17,Genoa,Serie A,2011/2012
17,18,Lecce,Serie A,2011/2012
18,19,Novara,Serie A,2011/2012
19,20,Cesena,Serie A,2011/2012
