,position,club,league,season
0,1,Chelsea,Premier League,2016/2017
1,2,Tottenham,Premier League,2016/2017
2,3,ManchesterCity,Premier League,2016/2017
3,4,Liverpool,Premier League,2016/2017
4,5,Arsenal,Premier League,2016/2017
5,6,ManchesterUnited,Premier League,2016/2017
6,7,Everton,Premier League,2016/2017
7,8,Southampton,Premier League,2016/2017
8,9,Bournemouth,Premier League,2016/2017
9,10,WestBromwich,Premier League,2016/2017
10,11,WestHam,Premier League,2016/2017
11,12,Leicester,Premier League,2016/2017
12,13,Stoke,Premier League,2016/2017
13,14,CrystalPalace,Premier League,2016/2017
14,15,Swansea,Premier League,2016/2017
15,16,Burnley,Premier League,2016/2017
16,17,Watford,Premier League,2016/2017
17,18,Hull,Premier League,2016/2017
18,19,Middlesbrough,Premier League,2016/2017
19,20,Sunderland,Premier League,2016/2017
