,position,club,league,season
0,1,Juventus,Serie A,2019/2020
1,2,Inter,Serie A,2019/2020
2,3,Atalanta,Serie A,2019/2020
3,4,Lazio,Serie A,2019/2020
4,5,Roma,Serie A,2019/2020
5,6,ACMilan,Serie A,2019/2020
6,7,Napoli,Serie A,2019/2020
7,8,Sassuolo,Serie A,2019/2020
8,9,Verona,Serie A,2019/2020
9,10,Fiorentina,Serie A,2019/2020
10,11,ParmaCalcio,Serie A,2019/2020
11,12,Bologna,Serie A,2019/2020
12,13,Udinese,Serie A,2019/2020
13,14,Cagliari,Serie A,2019/2020
14,15,Sampdoria,Serie A,2019/2020
15,16,Torino,Serie A,2019/2020
16,17,Genoa,Serie A,2019/2020
17,18,Lecce,Serie A,2019/2020
18,19,Brescia,Serie A,2019/2020
19,20,SPAL,Serie A,2019/2020
