,position,club,league,season
0,1,Chelsea,Premier League,2014/2015
1,2,ManchesterCity,Premier League,2014/2015
2,3,Arsenal,Premier League,2014/2015
3,4,ManchesterUnited,Premier League,2014/2015
4,5,Tottenham,Premier League,2014/2015
5,6,Liverpool,Premier League,2014/2015
6,7,Southampton,Premier League,2014/2015
7,8,Swansea,Premier League,2014/2015
8,9,Stoke,Premier League,2014/2015
9,10,CrystalPalace,Premier League,2014/2015
10,11,Everton,Premier League,2014/2015
11,12,WestHam,Premier League,2014/2015
12,13,WestBromwich,Premier League,2014/2015
13,14,Leicester,Premier League,2014/2015
14,15,Newcastle,Premier League,2014/2015
15,16,Sunderland,Premier League,2014/2015
16,17,AstonVilla,Premier League,2014/2015
17,18,Hull,Premier League,2014/2015
18,19,Burnley,Premier League,2014/2015
19,20,QueensParkRangers,Premier League,2014/2015
