,position,club,league,season
0,1,Monaco,Ligue 1,2016/2017
1,2,ParisSaintGermain,Ligue 1,2016/2017
2,3,Nice,Ligue 1,2016/2017
3,4,Lyon,Ligue 1,2016/2017
4,5,Marseille,Ligue 1,2016/2017
5,6,Bordeaux,Ligue 1,2016/2017
6,7,Nantes,Ligue 1,2016/2017
7,8,SaintEtienne,Ligue 1,2016/2017
8,9,Rennes,Ligue 1,2016/2017
9,10,Guingamp,Ligue 1,2016/2017
10,11,Lille,Ligue 1,2016/2017
11,12,Angers,Ligue 1,2016/2017
12,13,Toulouse,Ligue 1,2016/2017
13,14,Metz,Ligue 1,2016/2017
14,15,Montpellier,Ligue 1,2016/2017
15,16,Dijon,Ligue 1,2016/2017
16,17,Caen,Ligue 1,2016/2017
17,18,Lorient,Ligue 1,2016/2017
18,19,Nancy,Ligue 1,2016/2017
19,20,SCBastia,Ligue 1,2016/2017
