,position,club,league,season
0,1,Juventus,Serie A,2013/2014
1,2,Roma,Serie A,2013/2014
2,3,Napoli,Serie A,2013/2014
3,4,Fiorentina,Serie A,2013/2014
4,5,Inter,Serie A,2013/2014
5,6,ParmaCalcio,Serie A,2013/2014
6,7,ACMilan,Serie A,2013/2014
7,8,Torino,Serie A,2013/2014
8,9,Lazio,Serie A,2013/2014
9,10,Verona,Serie A,2013/2014
10,11,Atalanta,Serie A,2013/2014
11,12,Sampdoria,Serie A,2013/2014
12,13,Udinese,Serie A,2013/2014
13,14,Genoa,Serie A,2013/2014
14,15,Cagliari,Serie A,2013/2014
15,16,Chievo,Serie A,2013/2014
16,17,Sassuolo,Serie A,2013/2014
17,18,Catania,Serie A,2013/2014
18,19,Bologna,Serie A,2013/2014
19,20,Livorno,Serie A,2013/2014
