,position,club,league,season
0,1,Barcelona,LaLiga,2012/2013
1,2,RealMadrid,LaLiga,2012/2013
2,3,AtleticoMadrid,LaLiga,2012/2013
3,4,RealSociedad,LaLiga,2012/2013
4,5,Valencia,LaLiga,2012/2013
5,6,Malaga,LaLiga,2012/2013
6,7,RealBetis,LaLiga,2012/2013
7,8,RayoVallecano,LaLiga,2012/2013
8,9,Sevilla,LaLiga,2012/2013
9,10,Getafe,LaLiga,2012/2013
10,11,Levante,LaLiga,2012/2013
11,12,AthleticBilbao,LaLiga,2012/2013
12,13,Espanyol,LaLiga,2012/2013
13,14,RealValladolid,LaLiga,2012/2013
14,15,Granada,LaLiga,2012/2013
15,16,Osasuna,LaLiga,2012/2013
16,17,CeltaVigo,LaLiga,2012/2013
17,18,Mallorca,LaLiga,2012/2013
18,19,DeportivoLaCoruna,LaLiga,2012/2013
19,20,RealZaragoza,LaLiga,2012/2013
