,name,club,position,apps,mins,goals,assists,yel,red,shots,ps%,aerials_won,motm,rating,tackles,interceptions,fouls,offsides_won,clearances,dribbled,blocks,own_goals,key_passes,dribblings,fouled,offsides,dispossed,bad_controls,avg_passes,crosses,long_passes,through_passes,league,season
0,Robert Lewandowski,Bayern,FW,31,2762,34,4,5,-,4.5,73.1,2,7,8.13,0.6,0.2,1,-,0.4,0.4,-,-,1.2,1.9,1.4,0.5,1.7,2.6,24.7,0.3,0.5,0.1,Bundesliga,2019/2020
1,Jadon Sancho,Borussia Dortmund,AM(CLR),25(7),2292,17,16,2,-,1.6,85.1,-,7,7.64,0.4,0.4,0.3,-,0.1,0.5,-,-,2.2,2.4,0.5,0.3,1,1.9,47.1,0.6,0.8,0.1,Bundesliga,2019/2020
2,Timo Werner,RBL,FW,33(1),2809,28,8,4,-,3.6,75.6,0.2,10,7.60,0.6,0.1,0.5,-,-,0.4,-,-,1.6,1.7,0.9,1.3,1,2.5,27.7,0.5,0.7,-,Bundesliga,2019/2020
3,Matheus Cunha,Hertha Berlin,FW,9(2),747,5,-,3,-,3.2,65.4,0.5,3,7.56,0.9,0.9,2.3,-,0.1,0.6,0.1,-,0.7,3.7,2.6,0.2,2.1,1.5,14.7,0.1,1.8,-,Bundesliga,2019/2020
4,Alphonso Davies,Bayern,M(LR),24(5),2234,3,5,2,1,0.4,86.5,1.1,1,7.52,2.4,1.1,0.9,0.6,1.2,0.7,0.2,-,1.3,2.8,1.2,0.2,1.4,1.8,52.1,0.9,1.1,-,Bundesliga,2019/2020
5,Marco Reus,Borussia Dortmund,FW,18(1),1502,11,5,1,-,2.5,82.5,0.4,2,7.50,1.4,0.5,0.9,-,0.6,0.8,0.1,-,1.2,1.4,0.9,0.4,1.1,1.6,33.7,0.2,0.9,0.1,Bundesliga,2019/2020
6,Serge Gnabry,Bayern,FW,26(5),2203,12,10,-,-,3.1,82.3,0.2,7,7.49,1.2,0.5,0.5,-,-,0.6,-,-,1.7,1.8,0.8,0.5,0.8,1.7,33.1,0.4,0.6,0.1,Bundesliga,2019/2020
7,Thiago,Bayern,M(C),20(4),1772,3,-,7,-,0.8,90.5,1.5,1,7.47,1.9,1.9,1,0.2,0.5,0.9,0.1,-,0.8,3,0.5,-,0.8,1.2,74.9,0.1,6.2,-,Bundesliga,2019/2020
8,Erling Haaland,Borussia Dortmund,FW,11(4),1063,13,2,-,-,2.3,71.3,1.3,1,7.45,0.3,0.3,0.7,-,0.3,0.3,0.3,-,0.6,0.8,0.5,0.2,0.8,1.7,15.3,0.1,0.1,0.1,Bundesliga,2019/2020
9,Paulo Otávio,Wolfsburg,M(L),4(1),380,-,1,3,-,0.6,69,0.8,-,7.44,4.2,1.8,1.6,0.2,1.4,0.6,0.4,-,1.8,1.4,0.8,-,-,2,25.2,1.4,0.2,-,Bundesliga,2019/2020
10,Thomas Müller,Bayern,FW,26(7),2260,8,21,5,-,1.6,78,1,1,7.42,1.4,0.4,0.5,-,0.2,1.4,0.1,-,2.5,0.5,0.8,0.3,0.6,1.6,36.6,1,1.3,0.2,Bundesliga,2019/2020
11,Filip Kostic,Eintracht Frankfurt,FW,33,2959,4,11,4,-,2.7,67,0.6,5,7.41,1.8,0.7,1.1,-,0.2,1.1,0.1,-,2.4,2.5,1.1,0.1,1.8,2,32.1,3,1.5,-,Bundesliga,2019/2020
12,Joshua Kimmich,Bayern,M(R),32(1),2822,4,7,7,-,0.8,90.1,0.8,1,7.40,1.6,0.9,0.8,0.1,0.8,1,0.3,-,2.3,0.6,1.4,0.1,0.6,1.2,77.2,1.9,5.8,0.2,Bundesliga,2019/2020
13,Philipp Pentke,Hoffenheim,GK,4,360,-,-,1,-,-,74.5,1,-,7.36,-,-,-,-,1.8,-,-,-,0.3,-,0.3,-,-,-,34.3,-,5.5,-,Bundesliga,2019/2020
14,Christopher Nkunku,RBL,FW,21(11),1927,5,13,2,-,1.6,85.9,0.8,5,7.33,0.7,0.6,0.8,-,0.2,0.8,0.1,-,2.3,1.7,1.3,0.2,1,1.6,21.7,1.4,0.6,0.1,Bundesliga,2019/2020
