,name,club,position,apps,mins,goals,assists,yel,red,shots,ps%,aerials_won,motm,rating,tackles,interceptions,fouls,offsides_won,clearances,dribbled,blocks,own_goals,key_passes,dribblings,fouled,offsides,dispossed,bad_controls,avg_passes,crosses,long_passes,through_passes,league,season
115,Marvin Plattenhardt,Nuernberg,M(L),8(1),739,-,3,1,-,0.2,72.1,0.4,2,7.06,1.8,2.6,0.8,0.3,1.1,0.8,-,-,1.9,1.3,1,0.1,0.3,0.3,32.7,1.9,1.9,-,Bundesliga,2011/2012
116,Torsten Oehrl,Augsburg,FW,14(2),1308,4,2,1,1,1.8,67.6,3.3,2,7.06,1.3,1.1,1.6,-,0.7,1.6,0.1,-,0.8,1.7,2.4,0.9,2,1.6,28.8,0.1,1,0.1,Bundesliga,2011/2012
117,Mike Hanke,Borussia M.Gladbach,FW,29(2),2342,8,2,1,-,1.9,74.5,1.3,2,7.06,1.1,1.1,1.2,-,0.5,1.2,-,-,1.2,0.8,1.2,0.5,1.7,1.4,36.1,0.2,0.6,0.2,Bundesliga,2011/2012
118,Sergio Escudero,Schalke,M(L),4(2),411,-,-,-,-,0.7,78.4,0.8,-,7.06,3.8,2.5,0.8,0.2,2.7,1.3,-,-,0.7,1.2,1,0.2,1.2,0.3,33.2,0.5,1.8,-,Bundesliga,2011/2012
119,Luiz Gustavo,Bayern,M(C),18(10),1713,1,1,5,-,0.6,88.7,0.7,2,7.05,2.9,1.6,1.6,0.1,1,1.7,0.1,1,0.3,1.1,0.9,0.1,0.9,0.3,38.3,-,5.4,0.1,Bundesliga,2011/2012
120,Sebastian Rudy,Hoffenheim,M(CR),27(1),2340,-,2,6,-,0.8,77.9,0.7,1,7.05,2.8,2.2,1.5,-,1.5,1.9,0.2,-,1.3,1.5,1.4,-,1.1,0.8,44.8,0.9,5.5,-,Bundesliga,2011/2012
121,Florian Dick,Kaiserslautern,D(R),32,2880,2,2,11,-,0.8,74.9,2,1,7.05,3.1,2.2,1.9,0.4,2.9,1.4,0.5,-,0.8,1.1,1,-,0.9,0.7,44,0.5,4.5,-,Bundesliga,2011/2012
122,Tom Trybull,Werder Bremen,M(C),14(1),1112,1,2,1,-,0.9,84.1,1,-,7.04,2.7,2.6,1.4,-,1.1,1.2,0.1,-,0.7,1,1.2,-,2.1,1.1,48.9,0.1,2.1,-,Bundesliga,2011/2012
123,Tomás Rincón,Hamburg,M(CR),24(3),2116,-,2,8,-,0.5,81.8,1.1,3,7.04,3.7,2.6,2.2,-,1.1,2.7,0.1,-,0.5,1.6,1.5,-,1.4,0.6,46.7,-,4.5,0.1,Bundesliga,2011/2012
124,Jan Simunek,Kaiserslautern,D(L),6,540,-,1,1,-,0.8,65.5,3.3,-,7.04,1.7,1,1.7,2.2,8.2,1.5,0.3,-,0.7,0.3,1.3,-,-,0.5,32.8,0.2,4.2,-,Bundesliga,2011/2012
