,name,club,position,apps,mins,goals,assists,yel,red,shots,ps%,aerials_won,motm,rating,tackles,interceptions,fouls,offsides_won,clearances,dribbled,blocks,own_goals,key_passes,dribblings,fouled,offsides,dispossed,bad_controls,avg_passes,crosses,long_passes,through_passes,league,season
0,Paulo Dybala,Juventus,FW,26(7),2358,22,5,-,-,3.5,87.3,0.2,8,7.77,0.6,0.4,0.5,-,0.1,0.8,-,-,1.6,2.8,2.2,0.1,2,2.3,38,0.8,2.3,-,Serie A,2017/2018
1,Luis Alberto,Lazio,FW,32(2),2677,11,14,5,-,2.4,79.9,0.4,5,7.69,1.1,0.5,0.6,-,0.1,1,0.1,-,2.6,1.7,1.1,0.1,1.6,1.6,47,1.8,2.5,0.4,Serie A,2017/2018
2,Faouzi Ghoulam,Napoli,D(L),11,987,2,3,1,-,0.9,89.1,2,1,7.65,0.7,1.4,0.9,0.1,1.2,0.2,0.2,-,2.5,0.8,0.6,0.2,0.4,0.9,75.4,1.6,1,0.2,Serie A,2017/2018
3,Papu Gómez,Atalanta,FW,31(2),2758,6,10,2,-,3,81.9,-,6,7.65,0.4,0.7,0.6,-,0.1,0.6,-,-,2.9,3.2,2.9,0.5,1.6,2,37.7,2.3,1.5,0.2,Serie A,2017/2018
4,Lukasz Skorupski,Roma,GK,1,90,-,-,-,-,-,73.1,-,-,7.63,-,-,-,-,1,-,-,-,-,-,-,-,-,-,26,-,8,-,Serie A,2017/2018
5,Aleksandar Kolarov,Roma,M(L),34(1),3061,2,8,3,-,1.8,81.2,1.5,6,7.52,1.7,1.5,0.7,0.3,2.4,0.6,0.2,-,2.3,1.6,1.1,0.1,0.8,1.6,56.8,1.9,3,-,Serie A,2017/2018
6,Lorenzo Insigne,Napoli,FW,36(1),3104,8,11,4,-,4.8,85.2,0.1,7,7.51,0.8,0.5,0.3,-,0.1,0.5,-,-,2.8,1.7,0.9,0.9,1.5,2.4,65.9,0.3,1.3,0.2,Serie A,2017/2018
7,Alex Sandro,Juventus,M(L),23(3),2115,4,4,8,-,0.7,86.4,1.8,3,7.47,2.2,1.2,2,0.1,1.6,0.7,-,-,1,2,1.1,0.2,0.9,1.2,54.7,1,4.2,0.1,Serie A,2017/2018
8,Douglas Costa,Juventus,M(CLR),18(13),1793,4,12,1,-,1.2,84,0.2,4,7.45,0.5,0.2,0.7,-,0.2,0.5,-,-,1.9,3.4,0.6,0.1,1.1,1.4,30.2,1,1.9,-,Serie A,2017/2018
9,Felipe Anderson,Lazio,FW,9(12),1152,4,7,-,-,1.2,76.6,0.1,3,7.45,1.6,0.5,0.4,-,0.2,1.4,-,-,1.8,3.7,0.7,-,2.2,2.2,28.3,1,0.8,0.1,Serie A,2017/2018
10,Marco Silvestri,Verona,GK,2,180,-,-,-,-,-,68.2,-,-,7.44,-,0.5,-,-,-,-,-,-,-,-,0.5,-,-,-,22,-,6.5,-,Serie A,2017/2018
11,Miralem Pjanic,Juventus,M(C),28(3),2489,5,8,5,-,1.7,90.2,0.4,4,7.42,1.2,2,1.3,-,0.8,1.2,0.1,1,1.9,0.9,0.9,-,0.8,1,66.7,0.9,5.3,0.2,Serie A,2017/2018
12,Edin Dzeko,Roma,FW,33(3),3019,16,4,6,-,4.2,70.8,3,5,7.40,0.4,0.1,1,-,1,0.3,-,-,1.4,1.1,0.8,0.5,2,2.4,21.3,0.1,1.6,0.1,Serie A,2017/2018
