,name,club,position,apps,mins,goals,assists,yel,red,shots,ps%,aerials_won,motm,rating,tackles,interceptions,fouls,offsides_won,clearances,dribbled,blocks,own_goals,key_passes,dribblings,fouled,offsides,dispossed,bad_controls,avg_passes,crosses,long_passes,through_passes,league,season
63,Andrea Consigli,Sassuolo,GK,37,3330,-,-,1,-,-,78.8,0.5,5,6.91,0.1,-,0.1,-,0.7,-,-,-,-,-,0.1,-,-,-,31.9,-,4.4,-,Serie A,2020/2021
64,Edin Dzeko,Roma,FW,20(7),1828,7,3,2,-,2.6,68.8,3.1,3,6.91,0.3,-,0.9,-,0.4,0.2,0.1,-,1.1,1,1.4,0.4,1.1,2.1,18,0.1,0.7,-,Serie A,2020/2021
65,Berat Djimsiti,Atalanta,D(C),28(5),2629,-,2,8,-,0.6,87.4,2.3,-,6.90,1.2,1.9,0.9,0.2,2.5,0.5,0.6,-,0.6,0.3,0.8,-,0.3,0.8,52.6,0.1,2.2,-,Serie A,2020/2021
66,Omar Colley,Sampdoria,D(C),28(1),2590,2,-,6,-,0.4,81.1,2.6,2,6.90,1,2.3,1.2,1.2,4.6,0.3,1,-,0.1,0.1,0.8,-,-,0.3,46.6,-,4.4,-,Serie A,2020/2021
67,Federico Dimarco,Verona,M(L),29(6),2616,5,3,6,-,1.1,75.7,0.5,3,6.90,0.9,1.3,0.9,0.1,1.3,0.5,0.3,-,2.1,0.3,1.4,0.2,0.3,0.8,42.1,2.1,2.5,-,Serie A,2020/2021
68,Dusan Vlahovic,Fiorentina,FW,34(3),2933,21,3,1,-,2.3,66.3,3.1,5,6.90,0.4,0.1,1.4,-,0.4,0.3,0.1,-,0.5,0.7,1.9,0.7,2.4,2.9,16.1,-,0.4,-,Serie A,2020/2021
69,Adrien Rabiot,Juventus,M(L),25(9),2314,4,2,5,1,1,90.8,1.1,-,6.90,2.1,1.3,1.3,-,0.8,0.9,0.3,-,0.3,1.1,0.6,-,0.4,1.1,41.6,0.1,1.2,-,Serie A,2020/2021
70,Joaquín Correa,Lazio,FW,25(3),1945,8,3,1,1,1.9,83.2,0.5,1,6.90,0.8,0.3,0.9,-,0.4,0.6,-,-,1,1.3,1.9,0.1,1.3,2.3,24.4,0.1,0.9,-,Serie A,2020/2021
71,Milan Skriniar,Inter,D(C),31(1),2779,3,-,1,-,0.5,92.2,1,1,6.90,1.5,0.9,1.1,0.2,2.7,0.3,0.6,-,0.3,0.2,0.8,-,0.4,0.6,67.5,0.1,2.6,-,Serie A,2020/2021
72,Gianluca Mancini,Roma,DMC,33,2855,4,2,10,-,0.8,88.2,1.8,1,6.89,1.6,2.2,2,0.9,2.2,0.5,0.6,-,0.2,0.5,0.8,-,0.2,0.4,59.8,0.1,3.3,-,Serie A,2020/2021
