,name,club,position,apps,mins,goals,assists,yel,red,shots,ps%,aerials_won,motm,rating,tackles,interceptions,fouls,offsides_won,clearances,dribbled,blocks,own_goals,key_passes,dribblings,fouled,offsides,dispossed,bad_controls,avg_passes,crosses,long_passes,through_passes,league,season
0,Didier Drogba,Chelsea,FW,31(1),2775,29,10,7,-,5.6,59.7,1.8,13,8.32,0.7,1,2,-,1.5,0.3,0.2,-,1.8,1.2,1.7,1.1,2.3,-,20,0.7,0.8,0.2,Premier League,2009/2010
1,Cesc Fàbregas,Arsenal,FW,26(1),2194,15,13,5,-,3.2,79.3,0.5,11,8.25,2.3,2.3,1.3,-,0.9,1,0.1,-,3.5,1.9,1.8,0.1,2.7,-,66.1,1.1,4.2,1,Premier League,2009/2010
2,Robin van Persie,Arsenal,FW,14(2),1256,9,7,3,-,4.8,79.7,0.9,2,8.07,0.7,0.9,1.5,0.1,0.6,0.3,-,-,2.6,0.9,1.4,1.1,2,-,27.4,0.9,0.6,0.8,Premier League,2009/2010
3,Luís Boa Morte,West Ham,FW,1,64,1,-,1,-,2,81,-,-,8.01,3,4,1,-,-,2,1,-,1,1,2,1,2,-,21,-,1,-,Premier League,2009/2010
4,Frank Lampard,Chelsea,M(C),36,3220,22,14,-,-,3.9,81,0.1,2,7.95,2.1,1,0.7,-,1.2,0.7,0.1,-,3.2,0.4,0.8,0.1,1.4,-,53.4,1.6,3.9,0.6,Premier League,2009/2010
5,Wayne Rooney,Man Utd,FW,32,2723,26,3,6,-,5.7,73.6,0.8,5,7.91,0.7,0.4,0.8,-,0.3,0.3,-,-,1.8,1.3,0.9,0.9,2.7,-,40.1,0.6,2.8,0.4,Premier League,2009/2010
6,Mikel Arteta,Everton,M(C),11(2),1031,6,1,3,-,1.8,86.1,0.9,5,7.84,3,1.8,1.3,-,1.2,0.5,0.4,-,2.5,0.2,2.2,-,1,-,62.2,1.8,6.5,0.1,Premier League,2009/2010
7,Rafael,Man Utd,M(R),8,683,1,1,2,-,0.4,77.7,1,-,7.82,6,2.4,2,-,4.1,0.8,0.1,-,0.8,1.1,1.5,-,1,-,46,0.8,2,0.1,Premier League,2009/2010
8,Abou Diaby,Arsenal,M(C),26(3),2322,6,3,2,-,1.3,83.1,1.9,6,7.76,2.7,2.7,1.8,-,2,0.6,-,1,1.2,2.7,1.6,0.1,2.9,-,53.3,0.1,1.4,0.3,Premier League,2009/2010
9,James Collins,West Ham,D(C),3,270,-,-,1,-,0.3,78.4,3.3,1,7.73,2,3,0.3,0.7,13.3,0.3,2.3,-,-,-,0.7,-,-,-,32.3,-,2.3,-,Premier League,2009/2010
10,Fernando Torres,Liverpool,FW,20(2),1718,18,3,5,-,3.6,69.4,1.7,5,7.65,0.5,0.1,1.4,-,0.5,-,0.1,-,1,1.4,2.2,1,2.1,-,17.2,0.2,0.3,0.1,Premier League,2009/2010
11,Gareth Bale,Tottenham,FW,18(5),1707,3,5,2,-,1.7,64.9,2,2,7.64,2.2,2.7,1,-,3.4,0.5,0.1,-,1.7,2,1.3,0.1,1.6,-,26.4,1.6,1.5,-,Premier League,2009/2010
12,Florent Malouda,Chelsea,M(CL),26(7),2304,12,8,3,1,1.9,84.1,0.6,4,7.63,0.9,1.1,0.8,-,0.5,0.5,-,-,2.5,1.4,1.2,0.2,1.5,-,41.2,1.8,2.2,0.2,Premier League,2009/2010
13,Richard Dunne,Man City,D(C),2,180,-,-,-,-,-,85.1,3,-,7.61,1.5,1,0.5,1,8,1,2.5,-,-,-,-,-,-,-,37,-,1.5,-,Premier League,2009/2010
14,Glen Johnson,Liverpool,M(R),24(1),2141,3,3,1,-,1.1,81.6,0.9,-,7.61,3,2.4,1,0.2,2.6,0.8,0.1,1,1.4,2.1,1.2,-,1.2,-,45.4,1.1,2.5,0.1,Premier League,2009/2010
15,Michael Essien,Chelsea,DMC,13(1),1195,3,-,2,-,2.8,87.8,0.9,1,7.60,1.8,2.4,0.9,0.1,1.4,0.4,0.4,-,0.9,1.1,1.8,0.1,1.1,-,66.6,0.2,4.5,0.1,Premier League,2009/2010
16,Nicolas Anelka,Chelsea,FW,31(2),2705,11,7,-,-,3,78.6,1.1,2,7.60,0.8,0.9,0.6,-,0.1,0.2,0.1,-,1.8,1,1.1,0.8,2,-,31.4,0.6,1,0.1,Premier League,2009/2010
17,Nemanja Vidic,Man Utd,D(C),24,2107,1,-,7,1,0.5,83.2,4.5,1,7.59,2.2,2.5,1.3,0.2,9.3,0.3,1.1,-,0.1,0.1,1,-,0.3,-,50.4,-,3.8,-,Premier League,2009/2010
