,name,club,position,apps,mins,goals,assists,yel,red,shots,ps%,aerials_won,motm,rating,tackles,interceptions,fouls,offsides_won,clearances,dribbled,blocks,own_goals,key_passes,dribblings,fouled,offsides,dispossed,bad_controls,avg_passes,crosses,long_passes,through_passes,league,season
0,Jeff Reine-Adélaïde,Angers,FW,1,80,1,1,-,-,2,82.4,2,1,9.23,3,-,1,-,1,-,-,-,1,9,2,-,2,4,34,-,2,-,Ligue 1,2019/2020
1,Neymar,PSG,FW,15,1322,13,6,2,1,4.7,80.6,0.1,8,8.58,0.8,0.3,0.9,-,-,1.2,-,-,2.6,6,4.1,0.1,3.1,4.9,58.4,0.8,2.9,0.9,Ligue 1,2019/2020
2,Kylian Mbappé,PSG,FW,17(3),1516,18,5,-,-,4.4,80.4,0.2,6,8.14,0.4,0.2,0.6,-,-,0.4,-,-,2,2.8,1.1,0.9,1.3,2.4,30.1,0.4,0.5,0.1,Ligue 1,2019/2020
3,Ángel Di María,PSG,FW,23(3),2005,8,14,2,-,2.8,78.5,-,6,7.75,0.7,0.4,0.5,-,-,1.2,0.1,-,3,2.6,0.8,0.2,1.1,2,41.3,1.6,2.3,0.5,Ligue 1,2019/2020
4,Dimitri Payet,Marseille,FW,22,1937,9,4,5,1,2.9,76.6,0.4,8,7.73,1,0.4,0.7,-,0.5,0.7,-,-,4,2.3,1.4,0.1,2.3,2,40.9,2.5,2.7,0.2,Ligue 1,2019/2020
5,Anthony Caci,Strasbourg,M(L),8,693,1,4,-,-,0.5,80.1,0.9,2,7.60,3.6,2.4,1.4,0.1,1.1,1.1,0.6,-,1.5,0.4,0.6,-,1.1,1.1,52.3,1.4,5.1,0.1,Ligue 1,2019/2020
6,Memphis Depay,Lyon,FW,12(1),1022,9,2,-,-,3.7,78.8,0.2,4,7.59,0.3,0.2,0.6,-,0.2,0.4,-,-,1.9,2,1.4,0.2,1.5,2.7,33.8,0.8,1.2,0.2,Ligue 1,2019/2020
7,Hianga'a M'Bock,Brest,DMC,1(1),140,1,-,-,-,2,82,4,-,7.49,0.5,2,0.5,-,-,-,-,-,0.5,1,1.5,-,1,0.5,44.5,-,2.5,-,Ligue 1,2019/2020
8,Téji Savanier,Montpellier,M(C),18(1),1532,6,2,5,-,1.6,79,1.2,3,7.45,2.7,1.8,2.1,-,1,2.7,-,-,1.5,1.7,2.9,-,0.8,2.2,45.3,1.3,5,-,Ligue 1,2019/2020
9,Donovan Léon,Brest,Goalkeeper,1(1),122,-,-,-,-,-,64.7,1.5,-,7.38,-,-,0.5,-,0.5,-,-,-,-,-,1,-,-,-,17,-,4,-,Ligue 1,2019/2020
