,name,club,position,apps,mins,goals,assists,yel,red,shots,ps%,aerials_won,motm,rating,tackles,interceptions,fouls,offsides_won,clearances,dribbled,blocks,own_goals,key_passes,dribblings,fouled,offsides,dispossed,bad_controls,avg_passes,crosses,long_passes,through_passes,league,season
0,Lionel Messi,Barcelona,FW,29(2),2508,27,11,2,-,5,84.9,0.2,13,8.34,0.5,0.1,0.4,-,-,0.2,-,-,2.4,4.6,1.5,0.5,2.2,0.8,44.4,0.3,1.1,0.4,LaLiga,2013/2014
2,Cristiano Ronaldo,Real Madrid,FW,30,2545,31,9,4,1,7.2,80.2,1.8,10,8.27,0.6,0.1,0.7,-,0.5,0.2,-,-,1.6,2.2,1.9,1.5,1.4,1.2,31.9,0.3,0.8,0.1,LaLiga,2013/2014
4,Sergio Álvarez,Celta Vigo,GK,3,270,-,-,-,-,-,62.6,0.3,1,8.26,-,-,-,-,0.7,-,-,-,-,-,-,-,-,-,35.7,-,10.3,-,LaLiga,2013/2014
5,Gareth Bale,Real Madrid,FW,24(3),2073,15,12,3,-,3.3,76.3,1.1,5,7.75,0.9,0.7,0.7,-,0.3,0.1,0.1,-,1.5,2.1,0.7,0.4,1,1.1,27.2,0.4,1.3,0.2,LaLiga,2013/2014
7,Ivan Rakitic,Sevilla,M(C),29(4),2676,11,10,7,-,2.3,79.3,1.2,6,7.61,1.7,1.8,0.8,-,0.8,0.7,0.2,-,2.3,0.8,1.9,0.1,0.8,0.7,50.6,2.1,4.9,0.2,LaLiga,2013/2014
9,Gabi,Atletico,M(C),35(1),3119,3,8,11,-,1,79.4,1.1,2,7.58,3.8,2.2,1.7,-,0.9,1.8,0.3,-,1.5,0.7,1.4,-,0.9,0.5,57.6,1.2,4.7,0.2,LaLiga,2013/2014
11,Alexis Sánchez,Barcelona,FW,27(7),2386,19,10,2,-,1.9,79.8,0.7,3,7.54,1.7,0.4,1,-,0.2,0.4,-,-,1.4,1.1,1.6,0.7,1.2,1.3,26.7,0.4,0.6,0.1,LaLiga,2013/2014
13,Neymar,Barcelona,FW,19(7),1742,9,8,6,-,2.6,84.5,0.5,4,7.51,0.8,0.3,1.1,-,0.2,0.3,-,-,1.6,3,3,0.8,1.7,1.6,36.6,0.4,0.3,0.2,LaLiga,2013/2014
15,Tiago,Atletico,M(C),21(1),1866,2,1,8,-,1.1,81.4,2.5,2,7.49,3.5,2.6,1.5,-,2.5,1,0.2,-,0.5,0.3,0.9,-,0.6,0.3,50.8,-,3.3,-,LaLiga,2013/2014
17,Gerard Piqué,Barcelona,D(C),26,2311,2,-,5,-,0.8,90.2,3.8,3,7.49,2.1,2,1,0.8,5.5,0.5,0.5,-,0.2,0.2,0.4,-,0.3,0.5,60.5,-,5.7,0.1,LaLiga,2013/2014
