,name,club,position,apps,mins,goals,assists,yel,red,shots,ps%,aerials_won,motm,rating,tackles,interceptions,fouls,offsides_won,clearances,dribbled,blocks,own_goals,key_passes,dribblings,fouled,offsides,dispossed,bad_controls,avg_passes,crosses,long_passes,through_passes,league,season
0,Nicolas Douchez,PSG,GK,1,90,-,-,-,-,-,91.7,1,-,8.32,-,-,-,-,-,-,-,-,-,-,-,-,-,-,24,-,4,-,Ligue 1,2015/2016
1,Zlatan Ibrahimovic,PSG,FW,29(2),2553,38,13,1,-,5,78.9,1.4,14,8.29,0.5,0.2,0.9,-,0.9,0.4,0.1,-,1.5,1.2,1.1,1.6,1.7,2.2,44.2,-,1.6,0.4,Ligue 1,2015/2016
2,Layvin Kurzawa,Monaco,M(L),3,229,1,-,1,-,1.3,75.4,3.3,3,7.97,2,3.7,1,-,2.3,0.7,-,-,1.7,2.3,1,-,-,1,46,1.7,1.7,-,Ligue 1,2015/2016
3,Ángel Di María,PSG,FW,26(3),2134,10,18,-,-,2.4,80.5,-,5,7.94,0.4,0.7,0.2,-,-,1.2,-,-,3.4,1.9,1,0.4,1.7,1.9,53.2,2.1,3.5,0.7,Ligue 1,2015/2016
4,Layvin Kurzawa,PSG,M(L),14(2),1287,3,5,1,-,1,89.9,1.9,1,7.90,2.9,3.3,0.9,0.3,2.1,0.6,0.2,-,0.9,1.5,0.5,0.1,1.1,1.1,50.1,0.6,0.6,0.1,Ligue 1,2015/2016
5,Serge Aurier,PSG,M(R),21,1887,2,2,8,-,1,88.4,2.8,-,7.75,4,3.4,1.7,0.2,3.2,1.3,0.1,-,0.6,1.2,1,0.2,1.2,1.7,55,0.5,1.2,-,Ligue 1,2015/2016
6,Mathieu Gorgelin,Lyon,GK,1,90,-,-,-,-,-,51.9,-,-,7.72,-,-,-,-,3,-,-,-,-,-,-,-,-,-,27,-,6,-,Ligue 1,2015/2016
7,Thiago Silva,PSG,D(C),29(1),2622,1,1,3,-,0.5,94.6,2.4,2,7.65,1.7,3.1,0.6,0.6,4.8,0.5,0.7,-,0.3,0.5,0.8,-,0.1,0.1,80.6,0.1,3.7,0.1,Ligue 1,2015/2016
8,Hatem Ben Arfa,Nice,FW,33(1),2844,17,6,2,-,2.7,79.7,0.2,5,7.58,0.4,0.3,0.9,-,0.1,0.4,-,-,1,4.5,1.4,0.3,2.5,2.1,36.7,1,1.9,0.2,Ligue 1,2015/2016
9,Sofiane Boufal,Lille,FW,27(2),2343,11,4,10,2,1.7,77.1,0.4,6,7.56,1.8,0.2,2,-,0.1,0.8,-,-,2.5,4.4,2.5,-,3.9,3.3,32.1,1.5,0.8,0.1,Ligue 1,2015/2016
