,position,club,league,season
0,1,Chelsea,Premier League,2009/2010
1,2,ManchesterUnited,Premier League,2009/2010
2,3,Arsenal,Premier League,2009/2010
3,4,Tottenham,Premier League,2009/2010
4,5,ManchesterCity,Premier League,2009/2010
5,6,AstonVilla,Premier League,2009/2010
6,7,Liverpool,Premier League,2009/2010
7,8,Everton,Premier League,2009/2010
8,9,Birmingham,Premier League,2009/2010
9,10,Blackburn,Premier League,2009/2010
10,11,Stoke,Premier League,2009/2010
11,12,Fulham,Premier League,2009/2010
12,13,Sunderland,Premier League,2009/2010
13,14,Bolton,Premier League,2009/2010
14,15,Wolverhampton,Premier League,2009/2010
15,16,Wigan,Premier League,2009/2010
16,17,WestHam,Premier League,2009/2010
17,18,Burnley,Premier League,2009/2010
18,19,Hull,Premier League,2009/2010
19,20,Portsmouth,Premier League,2009/2010
