,position,club,league,season
0,1,ParisSaintGermain,Ligue 1,2012/2013
1,2,Marseille,Ligue 1,2012/2013
2,3,Lyon,Ligue 1,2012/2013
3,4,Nice,Ligue 1,2012/2013
4,5,SaintEtienne,Ligue 1,2012/2013
5,6,Lille,Ligue 1,2012/2013
6,7,Bordeaux,Ligue 1,2012/2013
7,8,Lorient,Ligue 1,2012/2013
8,9,Montpellier,Ligue 1,2012/2013
9,10,Toulouse,Ligue 1,2012/2013
10,11,Valenciennes,Ligue 1,2012/2013
11,12,SCBastia,Ligue 1,2012/2013
12,13,Rennes,Ligue 1,2012/2013
13,14,Reims,Ligue 1,2012/2013
14,15,Sochaux,Ligue 1,2012/2013
15,16,ThononEvianGrandGeneve,Ligue 1,2012/2013
16,17,ACAjaccio,Ligue 1,2012/2013
17,18,Nancy,Ligue 1,2012/2013
18,19,Troyes,Ligue 1,2012/2013
19,20,Brest,Ligue 1,2012/2013
