,position,club,league,season
0,1,ParisSaintGermain,Ligue 1,2018/2019
1,2,Lille,Ligue 1,2018/2019
2,3,Lyon,Ligue 1,2018/2019
3,4,SaintEtienne,Ligue 1,2018/2019
4,5,Marseille,Ligue 1,2018/2019
5,6,Montpellier,Ligue 1,2018/2019
6,7,Nice,Ligue 1,2018/2019
7,8,Reims,Ligue 1,2018/2019
8,9,Nimes,Ligue 1,2018/2019
9,10,Rennes,Ligue 1,2018/2019
10,11,Strasbourg,Ligue 1,2018/2019
11,12,Nantes,Ligue 1,2018/2019
12,13,Angers,Ligue 1,2018/2019
13,14,Bordeaux,Ligue 1,2018/2019
14,15,Amiens,Ligue 1,2018/2019
15,16,Toulouse,Ligue 1,2018/2019
16,17,Monaco,Ligue 1,2018/2019
17,18,Dijon,Ligue 1,2018/2019
18,19,Caen,Ligue 1,2018/2019
19,20,Guingamp,Ligue 1,2018/2019
