,position,club,league,season
0,1,Montpellier,Ligue 1,2011/2012
1,2,ParisSaintGermain,Ligue 1,2011/2012
2,3,Lille,Ligue 1,2011/2012
3,4,Lyon,Ligue 1,2011/2012
4,5,Bordeaux,Ligue 1,2011/2012
5,6,Rennes,Ligue 1,2011/2012
6,7,SaintEtienne,Ligue 1,2011/2012
7,8,Toulouse,Ligue 1,2011/2012
8,9,ThononEvianGrandGeneve,Ligue 1,2011/2012
9,10,Marseille,Ligue 1,2011/2012
10,11,Nancy,Ligue 1,2011/2012
11,12,Valenciennes,Ligue 1,2011/2012
12,13,Nice,Ligue 1,2011/2012
13,14,Sochaux,Ligue 1,2011/2012
14,15,Brest,Ligue 1,2011/2012
15,16,ACAjaccio,Ligue 1,2011/2012
16,17,Lorient,Ligue 1,2011/2012
17,18,Caen,Ligue 1,2011/2012
18,19,Dijon,Ligue 1,2011/2012
19,20,Auxerre,Ligue 1,2011/2012
