,position,club,league,season
0,1,ParisSaintGermain,Ligue 1,2019/2020
1,2,Marseille,Ligue 1,2019/2020
2,3,Rennes,Ligue 1,2019/2020
3,4,Lille,Ligue 1,2019/2020
4,5,Reims,Ligue 1,2019/2020
5,6,Nice,Ligue 1,2019/2020
6,7,Lyon,Ligue 1,2019/2020
7,8,Montpellier,Ligue 1,2019/2020
8,9,Monaco,Ligue 1,2019/2020
9,10,Angers,Ligue 1,2019/2020
10,11,Strasbourg,Ligue 1,2019/2020
11,12,Bordeaux,Ligue 1,2019/2020
12,13,Nantes,Ligue 1,2019/2020
13,14,Brest,Ligue 1,2019/2020
14,15,Metz,Ligue 1,2019/2020
15,16,Dijon,Ligue 1,2019/2020
16,17,SaintEtienne,Ligue 1,2019/2020
17,18,Nimes,Ligue 1,2019/2020
18,19,Amiens,Ligue 1,2019/2020
19,20,Toulouse,Ligue 1,2019/2020
