,position,club,league,season
0,1,Leicester,Premier League,2015/2016
1,2,Arsenal,Premier League,2015/2016
2,3,Tottenham,Premier League,2015/2016
3,4,ManchesterCity,Premier League,2015/2016
4,5,ManchesterUnited,Premier League,2015/2016
5,6,Southampton,Premier League,2015/2016
6,7,WestHam,Premier League,2015/2016
7,8,Liverpool,Premier League,2015/2016
8,9,Stoke,Premier League,2015/2016
9,10,Chelsea,Premier League,2015/2016
10,11,Everton,Premier League,2015/2016
11,12,Swansea,Premier League,2015/2016
12,13,Watford,Premier League,2015/2016
13,14,WestBromwich,Premier League,2015/2016
14,15,CrystalPalace,Premier League,2015/2016
15,16,Bournemouth,Premier League,2015/2016
16,17,Sunderland,Premier League,2015/2016
17,18,Newcastle,Premier League,2015/2016
18,19,Norwich,Premier League,2015/2016
19,20,AstonVilla,Premier League,2015/2016
