,position,club
0,1,Barcelona
1,2,RealMadrid
2,3,AtleticoMadrid
3,4,RealSociedad
4,5,Valencia
5,6,Malaga
6,7,RealBetis
7,8,RayoVallecano
8,9,Sevilla
9,10,Getafe
10,11,Levante
11,12,AthleticBilbao
12,13,Espanyol
13,14,RealValladolid
14,15,Granada
15,16,Osasuna
16,17,CeltaVigo
17,18,Mallorca
18,19,DeportivoLaCoruna
19,20,RealZaragoza
