,position,club,league,season
0,1,ManchesterUnited,Premier League,2012/2013
1,2,ManchesterCity,Premier League,2012/2013
2,3,Chelsea,Premier League,2012/2013
3,4,Arsenal,Premier League,2012/2013
4,5,Tottenham,Premier League,2012/2013
5,6,Everton,Premier League,2012/2013
6,7,Liverpool,Premier League,2012/2013
7,8,WestBromwich,Premier League,2012/2013
8,9,Swansea,Premier League,2012/2013
9,10,WestHam,Premier League,2012/2013
10,11,Norwich,Premier League,2012/2013
11,12,Fulham,Premier League,2012/2013
12,13,Stoke,Premier League,2012/2013
13,14,Southampton,Premier League,2012/2013
14,15,AstonVilla,Premier League,2012/2013
15,16,Newcastle,Premier League,2012/2013
16,17,Sunderland,Premier League,2012/2013
17,18,Wigan,Premier League,2012/2013
18,19,Reading,Premier League,2012/2013
19,20,QueensParkRangers,Premier League,2012/2013
