,position,club,league,season
0,1,Inter,Serie A,2020/2021
1,2,ACMilan,Serie A,2020/2021
2,3,Atalanta,Serie A,2020/2021
3,4,Juventus,Serie A,2020/2021
4,5,Napoli,Serie A,2020/2021
5,6,Lazio,Serie A,2020/2021
6,7,Roma,Serie A,2020/2021
7,8,Sassuolo,Serie A,2020/2021
8,9,Sampdoria,Serie A,2020/2021
9,10,Verona,Serie A,2020/2021
10,11,Genoa,Serie A,2020/2021
11,12,Bologna,Serie A,2020/2021
12,13,Udinese,Serie A,2020/2021
13,14,Fiorentina,Serie A,2020/2021
14,15,Spezia,Serie A,2020/2021
15,16,Cagliari,Serie A,2020/2021
16,17,Torino,Serie A,2020/2021
17,18,Benevento,Serie A,2020/2021
18,19,Crotone,Serie A,2020/2021
19,20,ParmaCalcio,Serie A,2020/2021
