,position,club,league,season
0,1,Lille,Ligue 1,2010/2011
1,2,Marseille,Ligue 1,2010/2011
2,3,Lyon,Ligue 1,2010/2011
3,4,ParisSaintGermain,Ligue 1,2010/2011
4,5,Sochaux,Ligue 1,2010/2011
5,6,Rennes,Ligue 1,2010/2011
6,7,Bordeaux,Ligue 1,2010/2011
7,8,Toulouse,Ligue 1,2010/2011
8,9,Auxerre,Ligue 1,2010/2011
9,10,SaintEtienne,Ligue 1,2010/2011
10,11,Lorient,Ligue 1,2010/2011
11,12,Valenciennes,Ligue 1,2010/2011
12,13,Nancy,Ligue 1,2010/2011
13,14,Montpellier,Ligue 1,2010/2011
14,15,Caen,Ligue 1,2010/2011
15,16,Brest,Ligue 1,2010/2011
16,17,Nice,Ligue 1,2010/2011
17,18,Monaco,Ligue 1,2010/2011
18,19,Lens,Ligue 1,2010/2011
19,20,ArlesAvignon,Ligue 1,2010/2011
