,position,club,league,season
0,1,Juventus,Serie A,2016/2017
1,2,Roma,Serie A,2016/2017
2,3,Napoli,Serie A,2016/2017
3,4,Atalanta,Serie A,2016/2017
4,5,Lazio,Serie A,2016/2017
5,6,ACMilan,Serie A,2016/2017
6,7,Inter,Serie A,2016/2017
7,8,Fiorentina,Serie A,2016/2017
8,9,Torino,Serie A,2016/2017
9,10,Sassuolo,Serie A,2016/2017
10,11,Sampdoria,Serie A,2016/2017
11,12,Cagliari,Serie A,2016/2017
12,13,Udinese,Serie A,2016/2017
13,14,Chievo,Serie A,2016/2017
14,15,Bologna,Serie A,2016/2017
15,16,Genoa,Serie A,2016/2017
16,17,Crotone,Serie A,2016/2017
17,18,Empoli,Serie A,2016/2017
18,19,Palermo,Serie A,2016/2017
19,20,Pescara,Serie A,2016/2017
