,position,club,league,season
0,1,ParisSaintGermain,Ligue 1,2013/2014
1,2,Monaco,Ligue 1,2013/2014
2,3,Lille,Ligue 1,2013/2014
3,4,SaintEtienne,Ligue 1,2013/2014
4,5,Lyon,Ligue 1,2013/2014
5,6,Marseille,Ligue 1,2013/2014
6,7,Bordeaux,Ligue 1,2013/2014
7,8,Lorient,Ligue 1,2013/2014
8,9,Toulouse,Ligue 1,2013/2014
9,10,SCBastia,Ligue 1,2013/2014
10,11,Reims,Ligue 1,2013/2014
11,12,Rennes,Ligue 1,2013/2014
12,13,Nantes,Ligue 1,2013/2014
13,14,ThononEvianGrandGeneve,Ligue 1,2013/2014
14,15,Montpellier,Ligue 1,2013/2014
15,16,Guingamp,Ligue 1,2013/2014
16,17,Nice,Ligue 1,2013/2014
17,18,Sochaux,Ligue 1,2013/2014
18,19,Valenciennes,Ligue 1,2013/2014
19,20,ACAjaccio,Ligue 1,2013/2014
