,position,club,league,season
0,1,ACMilan,Serie A,2021/2022
1,2,Inter,Serie A,2021/2022
2,3,Napoli,Serie A,2021/2022
3,4,Juventus,Serie A,2021/2022
4,5,Lazio,Serie A,2021/2022
5,6,Roma,Serie A,2021/2022
6,7,Fiorentina,Serie A,2021/2022
7,8,Atalanta,Serie A,2021/2022
8,9,Verona,Serie A,2021/2022
9,10,Torino,Serie A,2021/2022
10,11,Sassuolo,Serie A,2021/2022
11,12,Udinese,Serie A,2021/2022
12,13,Bologna,Serie A,2021/2022
13,14,Empoli,Serie A,2021/2022
14,15,Spezia,Serie A,2021/2022
15,16,Sampdoria,Serie A,2021/2022
16,17,Salernitana,Serie A,2021/2022
17,18,Cagliari,Serie A,2021/2022
18,19,Genoa,Serie A,2021/2022
19,20,Venezia,Serie A,2021/2022
