,position,club,league,season
0,1,Marseille,Ligue 1,2009/2010
1,2,Lyon,Ligue 1,2009/2010
2,3,Auxerre,Ligue 1,2009/2010
3,4,Lille,Ligue 1,2009/2010
4,5,Montpellier,Ligue 1,2009/2010
5,6,Bordeaux,Ligue 1,2009/2010
6,7,Lorient,Ligue 1,2009/2010
7,8,Monaco,Ligue 1,2009/2010
8,9,Rennes,Ligue 1,2009/2010
9,10,Valenciennes,Ligue 1,2009/2010
10,11,Lens,Ligue 1,2009/2010
11,12,Nancy,Ligue 1,2009/2010
12,13,ParisSaintGermain,Ligue 1,2009/2010
13,14,Toulouse,Ligue 1,2009/2010
14,15,Nice,Ligue 1,2009/2010
15,16,Sochaux,Ligue 1,2009/2010
16,17,SaintEtienne,Ligue 1,2009/2010
17,18,LeMans,Ligue 1,2009/2010
18,19,Boulogne,Ligue 1,2009/2010
19,20,Grenoble,Ligue 1,2009/2010
