,position,club,league,season
0,1,BayernMunich,Bundesliga,2020/2021
1,2,RBLeipzig,Bundesliga,2020/2021
2,3,BorussiaDortmund,Bundesliga,2020/2021
3,4,Wolfsburg,Bundesliga,2020/2021
4,5,EintrachtFrankfurt,Bundesliga,2020/2021
5,6,BayerLeverkusen,Bundesliga,2020/2021
6,7,UnionBerlin,Bundesliga,2020/2021
7,8,BorussiaMGladbach,Bundesliga,2020/2021
8,9,VfBStuttgart,Bundesliga,2020/2021
9,10,Freiburg,Bundesliga,2020/2021
10,11,Hoffenheim,Bundesliga,2020/2021
11,12,Mainz,Bundesliga,2020/2021
12,13,Augsburg,Bundesliga,2020/2021
13,14,HerthaBerlin,Bundesliga,2020/2021
14,15,ArminiaBielefeld,Bundesliga,2020/2021
15,16,FCKoln,Bundesliga,2020/2021
16,17,WerderBremen,Bundesliga,2020/2021
17,18,Schalke,Bundesliga,2020/2021
