,position,club,league,season
0,1,ParisSaintGermain,Ligue 1,2021/2022
1,2,Marseille,Ligue 1,2021/2022
2,3,Monaco,Ligue 1,2021/2022
3,4,Rennes,Ligue 1,2021/2022
4,5,Nice,Ligue 1,2021/2022
5,6,Strasbourg,Ligue 1,2021/2022
6,7,Lyon,Ligue 1,2021/2022
7,8,Lens,Ligue 1,2021/2022
8,9,Nantes,Ligue 1,2021/2022
9,10,Lille,Ligue 1,2021/2022
10,11,Brest,Ligue 1,2021/2022
11,12,Reims,Ligue 1,2021/2022
12,13,Montpellier,Ligue 1,2021/2022
13,14,Angers,Ligue 1,2021/2022
14,15,Troyes,Ligue 1,2021/2022
15,16,Lorient,Ligue 1,2021/2022
16,17,ClermontFoot,Ligue 1,2021/2022
17,18,SaintEtienne,Ligue 1,2021/2022
18,19,Metz,Ligue 1,2021/2022
19,20,Bordeaux,Ligue 1,2021/2022
